frame,top_joint,bottom_joint,orig_bot_X,orig_bot_Y,orig_bot_Z,fem_length_m,method,l_tt,new_X,new_Y,new_Z
1,14,3,9e-16,12.0,-20.2482142857143,25.7482142857143,M1,11.537859906359028,8.93475708896891e-16,12.0,-6.037859906359028
1,14,3,9e-16,12.0,-20.2482142857143,25.7482142857143,M2,15.377724207965148,8.952386763663378e-16,12.0,-9.877724207965148
1,14,3,9e-16,12.0,-20.2482142857143,25.7482142857143,M3,12.86032565997292,8.940828824634422e-16,12.0,-7.36032565997292
1,14,3,9e-16,12.0,-20.2482142857143,25.7482142857143,M6,14.553109948878202,8.948600775411126e-16,12.0,-9.053109948878202
2,34,5,5.1,12.0,-20.2482142857143,25.7482142857143,M1,11.520480618789724,5.1,12.0,-6.020480618789724
2,34,5,5.1,12.0,-20.2482142857143,25.7482142857143,M2,15.377724207965148,5.1,12.0,-9.877724207965148
2,34,5,5.1,12.0,-20.2482142857143,25.7482142857143,M3,12.86032565997292,5.1,12.0,-7.36032565997292
2,34,5,5.1,12.0,-20.2482142857143,25.7482142857143,M6,14.553109948878202,5.1,12.0,-9.053109948878202
3,110,7,15.3,12.0,-20.2482142857143,25.7482142857143,M1,11.538430078383234,15.3,12.0,-6.038430078383234
3,110,7,15.3,12.0,-20.2482142857143,25.7482142857143,M2,15.377724207965148,15.3,12.0,-9.877724207965148
3,110,7,15.3,12.0,-20.2482142857143,25.7482142857143,M3,12.86032565997292,15.3,12.0,-7.36032565997292
3,110,7,15.3,12.0,-20.2482142857143,25.7482142857143,M6,14.553109948878202,15.3,12.0,-9.053109948878202
4,135,9,20.4,12.0,-20.2482142857143,25.7482142857143,M1,11.515567008340067,20.4,12.0,-6.015567008340067
4,135,9,20.4,12.0,-20.2482142857143,25.7482142857143,M2,15.377724207965148,20.4,12.0,-9.877724207965148
4,135,9,20.4,12.0,-20.2482142857143,25.7482142857143,M3,12.86032565997292,20.4,12.0,-7.36032565997292
4,135,9,20.4,12.0,-20.2482142857143,25.7482142857143,M6,14.553109948878202,20.4,12.0,-9.053109948878202
5,160,11,25.5,12.0,-20.2482142857143,25.7482142857143,M1,11.493351184606553,25.5,12.0,-5.993351184606553
5,160,11,25.5,12.0,-20.2482142857143,25.7482142857143,M2,15.377724207965148,25.5,12.0,-9.877724207965148
5,160,11,25.5,12.0,-20.2482142857143,25.7482142857143,M3,12.86032565997292,25.5,12.0,-7.36032565997292
5,160,11,25.5,12.0,-20.2482142857143,25.7482142857143,M6,14.553109948878202,25.5,12.0,-9.053109948878202
6,184,13,30.6,12.0,-20.2482142857143,25.7482142857143,M1,11.496030646996187,30.6,12.0,-5.9960306469961875
6,184,13,30.6,12.0,-20.2482142857143,25.7482142857143,M2,15.377724207965148,30.6,12.0,-9.877724207965148
6,184,13,30.6,12.0,-20.2482142857143,25.7482142857143,M3,12.86032565997292,30.6,12.0,-7.36032565997292
6,184,13,30.6,12.0,-20.2482142857143,25.7482142857143,M6,14.553109948878202,30.6,12.0,-9.053109948878202
7,209,15,35.7,12.0,-20.2482142857143,25.7482142857143,M1,11.509203011460166,35.7,12.0,-6.0092030114601656
7,209,15,35.7,12.0,-20.2482142857143,25.7482142857143,M2,15.377724207965148,35.7,12.0,-9.877724207965148
7,209,15,35.7,12.0,-20.2482142857143,25.7482142857143,M3,12.86032565997292,35.7,12.0,-7.36032565997292
7,209,15,35.7,12.0,-20.2482142857143,25.7482142857143,M6,14.553109948878202,35.7,12.0,-9.053109948878202
8,233,17,40.8,12.0,-20.2482142857143,25.7482142857143,M1,11.534537507723105,40.8,12.0,-6.034537507723105
8,233,17,40.8,12.0,-20.2482142857143,25.7482142857143,M2,15.377724207965148,40.8,12.0,-9.877724207965148
8,233,17,40.8,12.0,-20.2482142857143,25.7482142857143,M3,12.86032565997292,40.8,12.0,-7.36032565997292
8,233,17,40.8,12.0,-20.2482142857143,25.7482142857143,M6,14.553109948878202,40.8,12.0,-9.053109948878202
9,255,19,45.9,12.0,-20.2482142857143,25.7482142857143,M1,11.544643683731476,45.9,12.0,-6.044643683731476
9,255,19,45.9,12.0,-20.2482142857143,25.7482142857143,M2,15.377724207965148,45.9,12.0,-9.877724207965148
9,255,19,45.9,12.0,-20.2482142857143,25.7482142857143,M3,12.86032565997292,45.9,12.0,-7.36032565997292
9,255,19,45.9,12.0,-20.2482142857143,25.7482142857143,M6,14.553109948878202,45.9,12.0,-9.053109948878202
10,277,27,51.0,12.0,-20.2482142857143,25.7482142857143,M1,11.5697332318885,51.0,12.0,-6.069733231888501
10,277,27,51.0,12.0,-20.2482142857143,25.7482142857143,M2,15.377724207965148,51.0,12.0,-9.877724207965148
10,277,27,51.0,12.0,-20.2482142857143,25.7482142857143,M3,12.86032565997292,51.0,12.0,-7.36032565997292
10,277,27,51.0,12.0,-20.2482142857143,25.7482142857143,M6,14.553109948878202,51.0,12.0,-9.053109948878202
11,301,29,56.1,12.0,-20.2482142857143,25.7482142857143,M1,11.609789114619325,56.1,12.0,-6.109789114619325
11,301,29,56.1,12.0,-20.2482142857143,25.7482142857143,M2,15.377724207965148,56.1,12.0,-9.877724207965148
11,301,29,56.1,12.0,-20.2482142857143,25.7482142857143,M3,12.86032565997292,56.1,12.0,-7.36032565997292
11,301,29,56.1,12.0,-20.2482142857143,25.7482142857143,M6,14.553109948878202,56.1,12.0,-9.053109948878202
12,364,31,66.3,12.0,-20.2482142857143,25.7482142857143,M1,11.56951240024081,66.3,12.0,-6.069512400240811
12,364,31,66.3,12.0,-20.2482142857143,25.7482142857143,M2,15.377724207965148,66.3,12.0,-9.877724207965148
12,364,31,66.3,12.0,-20.2482142857143,25.7482142857143,M3,12.86032565997292,66.3,12.0,-7.36032565997292
12,364,31,66.3,12.0,-20.2482142857143,25.7482142857143,M6,14.553109948878202,66.3,12.0,-9.053109948878202
13,389,33,71.4,12.0,-20.2482142857143,25.7482142857143,M1,11.611070315398058,71.4,12.0,-6.111070315398058
13,389,33,71.4,12.0,-20.2482142857143,25.7482142857143,M2,15.377724207965148,71.4,12.0,-9.877724207965148
13,389,33,71.4,12.0,-20.2482142857143,25.7482142857143,M3,12.86032565997292,71.4,12.0,-7.36032565997292
13,389,33,71.4,12.0,-20.2482142857143,25.7482142857143,M6,14.553109948878202,71.4,12.0,-9.053109948878202
14,89,35,6.03345158187247,10.8127555077844,-19.9014238681556,25.751426944765765,M1,14.010964831404236,7.933043552113,11.148876338979779,-8.320533411514898
14,89,35,6.03345158187247,10.8127555077844,-19.9014238681556,25.751426944765765,M2,15.621462001551864,7.672467140131241,11.10276898458086,-9.909141349441233
14,89,35,6.03345158187247,10.8127555077844,-19.9014238681556,25.751426944765765,M3,13.10406345355964,8.079779051833498,11.174840261182332,-7.4259582738087
