frame,top_joint,bottom_joint,orig_bot_X,orig_bot_Y,orig_bot_Z,fem_length_m,method,l_tt,new_X,new_Y,new_Z
1,14,3,9e-16,12.0,-20.2482142857143,25.7482142857143,M2_NEW,14.899063303518338,8.950189124535656e-16,12.0,-9.399063303518338
2,34,5,5.1,12.0,-20.2482142857143,25.7482142857143,M2_NEW,14.899063303518338,5.1,12.0,-9.399063303518338
3,110,7,15.3,12.0,-20.2482142857143,25.7482142857143,M2_NEW,14.899063303518338,15.3,12.0,-9.399063303518338
4,135,9,20.4,12.0,-20.2482142857143,25.7482142857143,M2_NEW,14.899063303518338,20.4,12.0,-9.399063303518338
5,160,11,25.5,12.0,-20.2482142857143,25.7482142857143,M2_NEW,14.899063303518338,25.5,12.0,-9.399063303518338
6,184,13,30.6,12.0,-20.2482142857143,25.7482142857143,M2_NEW,14.899063303518338,30.6,12.0,-9.399063303518338
7,209,15,35.7,12.0,-20.2482142857143,25.7482142857143,M2_NEW,14.899063303518338,35.7,12.0,-9.399063303518338
8,233,17,40.8,12.0,-20.2482142857143,25.7482142857143,M2_NEW,14.899063303518338,40.8,12.0,-9.399063303518338
9,255,19,45.9,12.0,-20.2482142857143,25.7482142857143,M2_NEW,14.899063303518338,45.9,12.0,-9.399063303518338
10,277,27,51.0,12.0,-20.2482142857143,25.7482142857143,M2_NEW,14.899063303518338,51.0,12.0,-9.399063303518338
11,301,29,56.1,12.0,-20.2482142857143,25.7482142857143,M2_NEW,14.899063303518338,56.1,12.0,-9.399063303518338
12,364,31,66.3,12.0,-20.2482142857143,25.7482142857143,M2_NEW,14.899063303518338,66.3,12.0,-9.399063303518338
13,389,33,71.4,12.0,-20.2482142857143,25.7482142857143,M2_NEW,14.899063303518338,71.4,12.0,-9.399063303518338
14,89,35,6.03345158187247,10.8127555077844,-19.9014238681556,25.751426944765765,M2_NEW,15.142801097105057,7.749913871084055,11.116472695687794,-9.43698621221147
15,65,37,14.3665484181275,13.1872444922156,-19.9014238681556,25.75142694476576,M2_NEW,14.660019573035042,12.571972686902416,12.869705622883544,-8.960766461169317
16,326,39,57.0334515818724,13.1872444922156,-19.9014238681556,25.751426944765775,M2_NEW,14.660019573035042,58.82802731309753,12.869705622883542,-8.96076646116931
17,342,41,65.3665484181276,10.8127555077844,-19.9014238681556,25.751426944765775,M2_NEW,15.142801097105057,63.65008612891599,11.116472695687794,-9.436986212211465
18,12,43,9e-16,6.0,-19.2464285714286,24.7464285714286,M2_NEW,16.909063303518337,8.96256023668764e-16,6.0,-11.409063303518337
19,32,45,5.1,6.0,-19.2464285714286,24.7464285714286,M2_NEW,16.909063303518337,5.1,6.0,-11.409063303518337
20,108,47,15.3,6.0,-19.2464285714286,24.7464285714286,M2_NEW,16.909063303518337,15.3,6.0,-11.409063303518337
21,133,50,20.4,6.0,-19.2464285714286,24.7464285714286,M2_NEW,16.909063303518337,20.4,6.0,-11.409063303518337
22,158,52,25.5,6.0,-19.2464285714286,24.7464285714286,M2_NEW,16.909063303518337,25.5,6.0,-11.409063303518337
23,182,54,30.6,6.0,-19.2464285714286,24.7464285714286,M2_NEW,16.909063303518337,30.6,6.0,-11.409063303518337
24,207,56,35.7,6.0,-19.2464285714286,24.7464285714286,M2_NEW,16.909063303518337,35.7,6.0,-11.409063303518337
25,231,58,40.8,6.0,-19.2464285714286,24.7464285714286,M2_NEW,16.909063303518337,40.8,6.0,-11.409063303518337
26,253,60,45.9,6.0,-19.2464285714286,24.7464285714286,M2_NEW,16.909063303518337,45.9,6.0,-11.409063303518337
27,275,62,51.0,6.0,-19.2464285714286,24.7464285714286,M2_NEW,16.909063303518337,51.0,6.0,-11.409063303518337
28,299,64,56.1,6.0,-19.2464285714286,24.7464285714286,M2_NEW,16.909063303518337,56.1,6.0,-11.409063303518337
29,362,66,66.3,6.0,-19.2464285714286,24.7464285714286,M2_NEW,16.909063303518337,66.3,6.0,-11.409063303518337
30,387,69,71.4,6.0,-19.2464285714286,24.7464285714286,M2_NEW,16.909063303518337,71.4,6.0,-11.409063303518337
31,91,80,6.19106606736212,4.84461573032765,-18.9062957306634,24.74341103277305,M2_NEW,17.172057612580062,7.417778730462709,5.0604596006679285,-11.438097816889737
32,63,82,14.208933932638,7.15538426967236,-18.9062957306634,24.743411032773068,M2_NEW,16.651112824056476,12.897817658532528,6.924689324081959,-10.924250613235625
33,324,84,57.191066067362,7.15538426967234,-18.9062957306635,24.74341103277317,M2_NEW,16.651112824056483,58.50218234146748,6.924689324081944,-10.924250613235632
34,344,86,65.2089339326378,4.84461573032764,-18.9062957306635,24.74341103277314,M2_NEW,17.172057612580062,63.98222126953723,5.060459600667923,-11.438097816889751
35,16,88,-6.7e-15,18.0,-21.25,26.75,M2_NEW,12.889063303518338,-2.7680650199225533e-15,18.0,-7.389063303518338
