frame,top_joint,bottom_joint,orig_bot_X,orig_bot_Y,orig_bot_Z,fem_length_m,method,l_tt,new_X,new_Y,new_Z
1,14,3,9e-16,12.0,-20.2482142857143,25.7482142857143,M2_NEW2,15.261948470228493,8.951855211391347e-16,12.0,-9.761948470228493
2,34,5,5.1,12.0,-20.2482142857143,25.7482142857143,M2_NEW2,15.261948470228493,5.1,12.0,-9.761948470228493
3,110,7,15.3,12.0,-20.2482142857143,25.7482142857143,M2_NEW2,15.261948470228493,15.3,12.0,-9.761948470228493
4,135,9,20.4,12.0,-20.2482142857143,25.7482142857143,M2_NEW2,15.261948470228493,20.4,12.0,-9.761948470228493
5,160,11,25.5,12.0,-20.2482142857143,25.7482142857143,M2_NEW2,15.261948470228493,25.5,12.0,-9.761948470228493
6,184,13,30.6,12.0,-20.2482142857143,25.7482142857143,M2_NEW2,15.261948470228493,30.6,12.0,-9.761948470228493
7,209,15,35.7,12.0,-20.2482142857143,25.7482142857143,M2_NEW2,15.261948470228493,35.7,12.0,-9.761948470228493
8,233,17,40.8,12.0,-20.2482142857143,25.7482142857143,M2_NEW2,15.261948470228493,40.8,12.0,-9.761948470228493
9,255,19,45.9,12.0,-20.2482142857143,25.7482142857143,M2_NEW2,15.261948470228493,45.9,12.0,-9.761948470228493
10,277,27,51.0,12.0,-20.2482142857143,25.7482142857143,M2_NEW2,15.261948470228493,51.0,12.0,-9.761948470228493
11,301,29,56.1,12.0,-20.2482142857143,25.7482142857143,M2_NEW2,15.261948470228493,56.1,12.0,-9.761948470228493
12,364,31,66.3,12.0,-20.2482142857143,25.7482142857143,M2_NEW2,15.261948470228493,66.3,12.0,-9.761948470228493
13,389,33,71.4,12.0,-20.2482142857143,25.7482142857143,M2_NEW2,15.261948470228493,71.4,12.0,-9.761948470228493
14,89,35,6.03345158187247,10.8127555077844,-19.9014238681556,25.751426944765765,M2_NEW2,15.505686263815212,7.691199508553343,11.106083559154209,-9.79493918914134
15,65,37,14.3665484181275,13.1872444922156,-19.9014238681556,25.75142694476576,M2_NEW2,15.022904739745195,12.63068704943313,12.880094759417128,-9.318719438099185
16,326,39,57.0334515818724,13.1872444922156,-19.9014238681556,25.751426944765775,M2_NEW2,15.022904739745195,58.769312950566814,12.880094759417128,-9.318719438099178
17,342,41,65.3665484181276,10.8127555077844,-19.9014238681556,25.751426944765775,M2_NEW2,15.505686263815212,63.7088004914467,11.106083559154209,-9.794939189141335
18,12,43,9e-16,6.0,-19.2464285714286,24.7464285714286,M2_NEW2,17.271948470228494,8.964293770124804e-16,6.0,-11.771948470228494
19,32,45,5.1,6.0,-19.2464285714286,24.7464285714286,M2_NEW2,17.271948470228494,5.1,6.0,-11.771948470228494
20,108,47,15.3,6.0,-19.2464285714286,24.7464285714286,M2_NEW2,17.271948470228494,15.3,6.0,-11.771948470228494
21,133,50,20.4,6.0,-19.2464285714286,24.7464285714286,M2_NEW2,17.271948470228494,20.4,6.0,-11.771948470228494
22,158,52,25.5,6.0,-19.2464285714286,24.7464285714286,M2_NEW2,17.271948470228494,25.5,6.0,-11.771948470228494
