frame,pile_type,orientation,P_X_max_T,P_Y_max_T
1,BTCT_D800,vertical,0.849613171249413,0.273479838675597
10,BTCT_D800,vertical,0.098451330424954,0.331962382909476
100,BTCT_D800,vertical,0.379643751993188,0.282181439316953
101,BTCT_D800,vertical,0.263639840836745,0.621473421792221
103,BTCT_D800,vertical,0.357720570016115,0.268319199054293
104,BTCT_D800,vertical,0.16984930428496,0.431876952913432
105,BTCT_D800,vertical,0.337716462614639,0.271324271111292
106,BTCT_D800,vertical,0.342651410756156,0.889377378664003
107,BTCT_D800,vertical,0.315180232205814,0.278611579802122
108,BTCT_D800,vertical,0.243342594809,0.688360318894638
109,BTCT_D800,vertical,0.29281952531822,0.280520487325957
11,BTCT_D800,vertical,0.0932645195500269,0.406031915909252
110,BTCT_D800,vertical,0.169148757106011,0.493870732949922
111,BTCT_D800,vertical,0.259395806626948,0.295827894125102
112,BTCT_D800,vertical,0.4181723078598,0.917563083291218
113,BTCT_D800,vertical,0.25027859984833,0.313600475020354
114,BTCT_D800,vertical,0.521704480088415,0.947201623214895
115,BTCT_D800,vertical,0.312304100813256,0.328635371246157
116,BTCT_D800,vertical,0.486246610916185,0.684059333067303
117,BTCT_D800,vertical,0.380576030838067,0.353058191158131
119,BTCT_D800,vertical,0.35555805196535,0.477875673345477
12,BTCT_D800,vertical,0.201289499299591,0.331555806894042
120,BTCT_D800,vertical,0.630942945128811,0.997063534668283
121,BTCT_D800,vertical,0.592125968949763,0.741085163067253
122,BTCT_D800,vertical,0.479576980666868,0.529882967680957
123,BTCT_D800,raked_6to1,1.1556964263614,3.9432716446839344
125,BTCT_D800,raked_6to1,1.35175647867008,4.166976193539021
126,BTCT_D800,raked_6to1,1.25821018318716,4.7560612902420605
127,BTCT_D800,raked_6to1,1.06682340424352,4.170423004659203
128,BTCT_D800,raked_6to1,0.387547116078624,3.541605321711347
129,BTCT_D800,raked_6to1,0.232059679255118,3.4951094200830077
13,BTCT_D800,vertical,0.272235362010352,0.408411677321266
132,BTCT_D800,raked_6to1,0.320148255054314,4.999838312678286
135,BTCT_D800,raked_6to1,0.503277161070864,5.263169963017988
136,BTCT_D800,raked_6to1,0.183741392974877,5.676568300745169
137,BTCT_D800,raked_6to1,0.172555694212578,5.069583414043908
138,BTCT_D800,raked_6to1,0.525978425324376,5.75214408569707
139,BTCT_D800,raked_6to1,0.46304464463188,4.63726444356737
14,BTCT_D800,raked_6to1,0.688386440423556,5.568772120646624
140,Steel_D1016,raked_6to1,1.1075876064993,0.6865666457005623
141,Steel_D1016,raked_6to1,0.473286503767214,34.91874509618349
142,Steel_D1016,raked_6to1,0.499370039258129,32.01904218059372
143,Steel_D1016,raked_6to1,0.502178357035286,30.716946082460673
144,Steel_D1016,raked_6to1,0.480378497454056,29.46947825192686
145,Steel_D1016,raked_6to1,0.464291032748937,28.08778101588695
146,Steel_D1016,raked_6to1,0.442461137531772,26.656056964251494
147,Steel_D1016,raked_6to1,0.47374741107355,28.578662400348904
148,Steel_D1016,raked_6to1,0.41739461154395,27.90471019164333
149,Steel_D1016,raked_6to1,0.284797193327244,26.315127646325372
15,BTCT_D800,raked_6to1,0.627249667135542,4.892511402850931
150,Steel_D1016,raked_6to1,0.174699720672014,28.392863469455467
151,Steel_D1016,raked_6to1,0.171485304494732,31.12037327725992
152,Steel_D1016,raked_6to1,0.25460226688002,31.886486504784664
153,Steel_D1016,raked_6to1,0.320035519655313,31.436145633540473
154,Steel_D1016,raked_6to1,2.01007091385134,0.26978399740427117
155,Steel_D1016,raked_6to1,0.615217020525016,40.12596036045113
156,Steel_D1016,raked_6to1,0.510363967719992,36.88711260995873
157,Steel_D1016,raked_6to1,0.351936333989014,35.922174231331205
158,Steel_D1016,raked_6to1,0.321756025741079,35.773026419753194
159,Steel_D1016,raked_6to1,0.332268735681018,34.9895805992629
16,BTCT_D800,raked_6to1,0.104474373878054,5.05931145563729
160,Steel_D1016,raked_6to1,0.303932517542573,33.50446450925871
161,,,0.554218918894835,
162,,,0.56281526478537,
163,,,0.584119838559514,
164,,,0.580675297602756,
165,,,0.564786081880058,
166,,,0.548556048194063,
167,,,0.543097856363634,
168,Steel_D1016,raked_6to1,0.731788305717088,19.599998242253555
169,Steel_D1016,raked_6to1,0.678432861836527,17.68950854678562
17,BTCT_D800,raked_6to1,0.154379161419856,5.849762866841123
170,Steel_D1016,raked_6to1,0.65637583713182,19.001873846119572
171,Steel_D1016,raked_6to1,0.647586161588484,20.465036157380894
172,Steel_D1016,raked_6to1,0.627569292366675,20.853686044815262
173,Steel_D1016,raked_6to1,0.587435215770386,20.48368745506336
174,Steel_D1016,raked_6to1,0.54397480913067,20.47937583814971
175,Steel_D1016,raked_6to1,0.729727081819843,28.559440343591543
176,Steel_D1016,raked_6to1,0.625494435454219,26.131788888705948
