frame,pile_type,top_X,top_Y,top_Z,bot_X,bot_Y,bot_Z,fem_length_m,rake_V_to_H,orientation,spring_K33_tm,Y_s,Z_s,on_segment,H0_vertical_m,H0_along_axis_m,applicable_cases,D_m,t_m,E_Tm2,I_m4,b_equiv_m
1,BTCT_D800,8.881784197001249e-16,12.0,5.5,9e-16,12.0,-20.2482142857143,25.7482142857143,,vertical,428578.0,12.0,-3.8199999999999994,True,9.32,9.32,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
2,BTCT_D800,5.1,12.0,5.5,5.1,12.0,-20.2482142857143,25.7482142857143,,vertical,428578.0,12.0,-3.8199999999999994,True,9.32,9.32,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
3,BTCT_D800,15.3,12.0,5.5,15.3,12.0,-20.2482142857143,25.7482142857143,,vertical,428578.0,12.0,-3.8199999999999994,True,9.32,9.32,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
4,BTCT_D800,20.4,12.0,5.5,20.4,12.0,-20.2482142857143,25.7482142857143,,vertical,428578.0,12.0,-3.8199999999999994,True,9.32,9.32,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
5,BTCT_D800,25.5,12.0,5.5,25.5,12.0,-20.2482142857143,25.7482142857143,,vertical,428578.0,12.0,-3.8199999999999994,True,9.32,9.32,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
6,BTCT_D800,30.6,12.0,5.5,30.6,12.0,-20.2482142857143,25.7482142857143,,vertical,428578.0,12.0,-3.8199999999999994,True,9.32,9.32,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
7,BTCT_D800,35.7,12.0,5.5,35.7,12.0,-20.2482142857143,25.7482142857143,,vertical,428578.0,12.0,-3.8199999999999994,True,9.32,9.32,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
8,BTCT_D800,40.8,12.0,5.5,40.8,12.0,-20.2482142857143,25.7482142857143,,vertical,428578.0,12.0,-3.8199999999999994,True,9.32,9.32,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
9,BTCT_D800,45.9,12.0,5.5,45.9,12.0,-20.2482142857143,25.7482142857143,,vertical,428578.0,12.0,-3.8199999999999994,True,9.32,9.32,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
10,BTCT_D800,51.0,12.0,5.5,51.0,12.0,-20.2482142857143,25.7482142857143,,vertical,428578.0,12.0,-3.8199999999999994,True,9.32,9.32,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
11,BTCT_D800,56.1,12.0,5.5,56.1,12.0,-20.2482142857143,25.7482142857143,,vertical,428578.0,12.0,-3.8199999999999994,True,9.32,9.32,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
12,BTCT_D800,66.3,12.0,5.5,66.3,12.0,-20.2482142857143,25.7482142857143,,vertical,428578.0,12.0,-3.8199999999999994,True,9.32,9.32,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
13,BTCT_D800,71.4,12.0,5.5,71.4,12.0,-20.2482142857143,25.7482142857143,,vertical,428578.0,12.0,-3.8199999999999994,True,9.32,9.32,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
14,BTCT_D800,10.2,11.55,5.5,6.03345158187247,10.8127555077844,-19.9014238681556,25.7514269447658,6.003,raked_6to1,428578.0,11.272424496756058,-4.0637377935867205,True,9.563737793586721,9.567765086188109,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
15,BTCT_D800,10.2,12.45,5.5,14.3665484181275,13.1872444922156,-19.9014238681556,25.7514269447658,6.003,raked_6to1,428578.0,12.713563374577003,-3.580956269516704,True,9.080956269516705,9.084780262686223,"Case1,Case2,Case4",0.8,0.13,3600000.0,0.015932265129433645,1.8
