frame,pile_type,orientation,l0_m,P_X_T,P_Y_T,l_case1_M1,l_case2_M1,l_case4_M1,l_tt_M1,l_tt_M2,l_tt_M3,l1_M6,l_tt_M6,fem_length_m
1,BTCT_D800,vertical,9.32,0.849613171249413,0.273479838675597,11.537859906359028,11.069742738993805,,11.537859906359028,15.377724207965148,12.86032565997292,5.233109948878202,14.553109948878202,25.7482142857143
2,BTCT_D800,vertical,9.32,0.773635606350869,0.241760217350672,11.520480618789724,11.042662693081713,,11.520480618789724,15.377724207965148,12.86032565997292,5.233109948878202,14.553109948878202,25.7482142857143
3,BTCT_D800,vertical,9.32,0.623244586092518,0.274522491336621,11.538430078383234,10.988362316238712,,11.538430078383234,15.377724207965148,12.86032565997292,5.233109948878202,14.553109948878202,25.7482142857143
4,BTCT_D800,vertical,9.32,0.549354464647176,0.232813643971702,11.515567008340067,10.96133744693278,,11.515567008340067,15.377724207965148,12.86032565997292,5.233109948878202,14.553109948878202,25.7482142857143
5,BTCT_D800,vertical,9.32,0.474720254909237,0.192481085374349,11.493351184606553,10.933804752488852,,11.493351184606553,15.377724207965148,12.86032565997292,5.233109948878202,14.553109948878202,25.7482142857143
6,BTCT_D800,vertical,9.32,0.400037362510665,0.197335445711841,11.496030646996187,10.906013820198217,,11.496030646996187,15.377724207965148,12.86032565997292,5.233109948878202,14.553109948878202,25.7482142857143
7,BTCT_D800,vertical,9.32,0.325065881968107,0.221240254018375,11.509203011460166,10.877870530733162,,11.509203011460166,15.377724207965148,12.86032565997292,5.233109948878202,14.553109948878202,25.7482142857143
8,BTCT_D800,vertical,9.32,0.250038659906129,0.267406833231713,11.534537507723105,10.849457385393189,,11.534537507723105,15.377724207965148,12.86032565997292,5.233109948878202,14.553109948878202,25.7482142857143
9,BTCT_D800,vertical,9.32,0.174771932508861,0.28589338141591,11.544643683731476,10.820700102866672,,11.544643683731476,15.377724207965148,12.86032565997292,5.233109948878202,14.553109948878202,25.7482142857143
10,BTCT_D800,vertical,9.32,0.098451330424954,0.331962382909476,11.5697332318885,10.791277694604275,,11.5697332318885,15.377724207965148,12.86032565997292,5.233109948878202,14.553109948878202,25.7482142857143
11,BTCT_D800,vertical,9.32,0.0932645195500269,0.406031915909252,11.609789114619325,10.789268450475214,,11.609789114619325,15.377724207965148,12.86032565997292,5.233109948878202,14.553109948878202,25.7482142857143
12,BTCT_D800,vertical,9.32,0.201289499299591,0.331555806894042,11.56951240024081,10.83086087570383,,11.56951240024081,15.377724207965148,12.86032565997292,5.233109948878202,14.553109948878202,25.7482142857143
