frame,pile_type,top_joint,bottom_joint,top_X,top_Y,top_Z,bot_X,bot_Y,bot_Z,fem_length_m,rake_V_to_H,status,spring_K33_tm,orientation
1,BTCT_D800,14,3,8.881784197001249e-16,12.0,5.5,9e-16,12.0,-20.2482142857143,25.7482142857143,,treatment_spring,428578.0,vertical
2,BTCT_D800,34,5,5.1,12.0,5.5,5.1,12.0,-20.2482142857143,25.7482142857143,,treatment_spring,428578.0,vertical
3,BTCT_D800,110,7,15.3,12.0,5.5,15.3,12.0,-20.2482142857143,25.7482142857143,,treatment_spring,428578.0,vertical
4,BTCT_D800,135,9,20.4,12.0,5.5,20.4,12.0,-20.2482142857143,25.7482142857143,,treatment_spring,428578.0,vertical
5,BTCT_D800,160,11,25.5,12.0,5.5,25.5,12.0,-20.2482142857143,25.7482142857143,,treatment_spring,428578.0,vertical
6,BTCT_D800,184,13,30.6,12.0,5.5,30.6,12.0,-20.2482142857143,25.7482142857143,,treatment_spring,428578.0,vertical
7,BTCT_D800,209,15,35.7,12.0,5.5,35.7,12.0,-20.2482142857143,25.7482142857143,,treatment_spring,428578.0,vertical
8,BTCT_D800,233,17,40.8,12.0,5.5,40.8,12.0,-20.2482142857143,25.7482142857143,,treatment_spring,428578.0,vertical
9,BTCT_D800,255,19,45.9,12.0,5.5,45.9,12.0,-20.2482142857143,25.7482142857143,,treatment_spring,428578.0,vertical
10,BTCT_D800,277,27,51.0,12.0,5.5,51.0,12.0,-20.2482142857143,25.7482142857143,,treatment_spring,428578.0,vertical
11,BTCT_D800,301,29,56.1,12.0,5.5,56.1,12.0,-20.2482142857143,25.7482142857143,,treatment_spring,428578.0,vertical
12,BTCT_D800,364,31,66.3,12.0,5.5,66.3,12.0,-20.2482142857143,25.7482142857143,,treatment_spring,428578.0,vertical
13,BTCT_D800,389,33,71.4,12.0,5.5,71.4,12.0,-20.2482142857143,25.7482142857143,,treatment_spring,428578.0,vertical
14,BTCT_D800,89,35,10.2,11.55,5.5,6.03345158187247,10.8127555077844,-19.9014238681556,25.7514269447658,6.003,treatment_spring,428578.0,raked_6to1
15,BTCT_D800,65,37,10.2,12.45,5.5,14.3665484181275,13.1872444922156,-19.9014238681556,25.7514269447658,6.003,treatment_spring,428578.0,raked_6to1
16,BTCT_D800,326,39,61.2,12.45,5.5,57.0334515818724,13.1872444922156,-19.9014238681556,25.7514269447658,6.003,treatment_spring,428578.0,raked_6to1
17,BTCT_D800,342,41,61.2,11.55,5.5,65.3665484181276,10.8127555077844,-19.9014238681556,25.7514269447658,6.003,treatment_spring,428578.0,raked_6to1
18,BTCT_D800,12,43,8.881784197001249e-16,6.0,5.5,9e-16,6.0,-19.2464285714286,24.7464285714286,,treatment_spring,298646.0,vertical
19,BTCT_D800,32,45,5.1,6.0,5.5,5.1,6.0,-19.2464285714286,24.7464285714286,,treatment_spring,298646.0,vertical
20,BTCT_D800,108,47,15.3,6.0,5.5,15.3,6.0,-19.2464285714286,24.7464285714286,,treatment_spring,298646.0,vertical
21,BTCT_D800,133,50,20.4,6.0,5.5,20.4,6.0,-19.2464285714286,24.7464285714286,,treatment_spring,298646.0,vertical
22,BTCT_D800,158,52,25.5,6.0,5.5,25.5,6.0,-19.2464285714286,24.7464285714286,,treatment_spring,298646.0,vertical
23,BTCT_D800,182,54,30.6,6.0,5.5,30.6,6.0,-19.2464285714286,24.7464285714286,,treatment_spring,298646.0,vertical
24,BTCT_D800,207,56,35.7,6.0,5.5,35.7,6.0,-19.2464285714286,24.7464285714286,,treatment_spring,298646.0,vertical
25,BTCT_D800,231,58,40.8,6.0,5.5,40.8,6.0,-19.2464285714286,24.7464285714286,,treatment_spring,298646.0,vertical
26,BTCT_D800,253,60,45.9,6.0,5.5,45.9,6.0,-19.2464285714286,24.7464285714286,,treatment_spring,298646.0,vertical
27,BTCT_D800,275,62,51.0,6.0,5.5,51.0,6.0,-19.2464285714286,24.7464285714286,,treatment_spring,298646.0,vertical
28,BTCT_D800,299,64,56.1,6.0,5.5,56.1,6.0,-19.2464285714286,24.7464285714286,,treatment_spring,298646.0,vertical
29,BTCT_D800,362,66,66.3,6.0,5.5,66.3,6.0,-19.2464285714286,24.7464285714286,,treatment_spring,298646.0,vertical
30,BTCT_D800,387,69,71.4,6.0,5.5,71.4,6.0,-19.2464285714286,24.7464285714286,,treatment_spring,298646.0,vertical
31,BTCT_D800,91,80,10.2,5.55,5.5,6.19106606736212,4.84461573032765,-18.9062957306634,24.7434110327731,5.996,treatment_spring,298646.0,raked_6to1
