joint,load_case,step_type,U1,U2,U3,R1,R2,R3
4,BAO KT,Max,0.00042367755779051513,3.3985686355344556e-05,-0.003085020190364133,0.00029319052905177995,3.294866674665994e-05,1.3032558316209105e-05
4,BAO KT,Min,-0.004300643190244145,-0.004862764496392364,-0.0064963808447345995,4.3733183909311346e-05,-0.00014114659163031292,-1.4828431989954162e-05
6,BAO KT,Max,0.0003563700341392751,3.391315317220001e-05,-0.0028350038670672817,0.00030933744345657454,-1.4958188221013387e-05,1.2736323919342417e-05
6,BAO KT,Min,-0.004228457264591738,-0.004247175750721219,-0.006013311442979163,5.384379056904806e-05,-0.0001781642509717979,-1.3890485212099524e-05
8,BAO KT,Max,0.00029174853457718025,3.3627655871056706e-05,-0.002409962626317958,0.0002490538619675355,-2.8809903081818184e-05,1.2415549535402991e-05
8,BAO KT,Min,-0.004161796476212272,-0.0036284741431614827,-0.0051067495955485695,4.7350044978170425e-05,-0.00017827862419057111,-1.4124799581963574e-05
10,BAO KT,Max,0.00022912530843973388,3.293136380826005e-05,-0.0017828573980777575,0.0003278628787597009,-7.081148720098701e-06,1.2348078419388727e-05
10,BAO KT,Min,-0.00408868720896571,-0.0030064307151851195,-0.003784313316822914,2.8306501440834073e-05,-0.00013389684058018932,-1.655305466144999e-05
12,BAO KT,Max,0.00010068744620741338,3.503973359126514e-05,-0.0009529843196125412,0.0001505407897555309,1.7406866858961185e-05,1.2426401862873701e-05
12,BAO KT,Min,-0.0038350356809908784,-0.0016781777298972558,-0.002119110965606034,1.7707712098146605e-05,-9.903918184947641e-05,-3.262923165744449e-05
14,BAO KT,Max,3.0130832956748024e-05,3.803334236275271e-05,-0.0005533645059306246,0.00015076875799253182,1.5837302575599217e-05,1.3821779103755335e-05
14,BAO KT,Min,-0.0036026242091342555,-0.001001829217407873,-0.0013089806882344646,6.498644718192372e-05,-9.40860589599481e-05,-4.342657648953512e-05
16,BAO KT,Max,2.849939965095914e-07,0.00047090534203969765,-0.00019404409129720392,8.179975429938046e-05,0.00014424043387877158,1.8187337925848474e-05
16,BAO KT,Min,-0.0033868566510354818,-0.0006263687407581419,-0.0006609575341249008,-6.611276827101844e-05,-3.024800196622103e-05,-1.7737300420280764e-05
18,BAO KT,Max,0.000423389234414333,4.362332729917135e-05,-0.00307363692093734,0.0003485772433182369,7.372529207911774e-06,1.3314057378261071e-05
18,BAO KT,Min,-0.0037023222505953154,-0.004862739359657889,-0.006507962697747855,7.500836529031132e-05,-0.00012724108675050744,-1.568945242623991e-05
26,BAO KT,Max,0.00035605059070959236,4.351240788881741e-05,-0.0026553441843008584,0.0003514807572601089,-4.5502808449363456e-05,1.3011800448733115e-05
26,BAO KT,Min,-0.003630860810010402,-0.0042483998673480735,-0.0056485670081311,7.773407559026595e-05,-0.00018949173265432308,-1.4813775297502564e-05
28,BAO KT,Max,0.00029152546078180865,4.3491268566790945e-05,-0.002201300602343813,0.00023827144758288256,-5.4292700457133154e-05,1.2849683729064068e-05
28,BAO KT,Min,-0.003565611356961149,-0.003633438657523196,-0.004633759853548434,4.69075766265119e-05,-0.00019108949103737122,-1.5187436565588037e-05
30,BAO KT,Max,0.00022901682103749425,4.363177876765056e-05,-0.0016668931423354189,0.000288825821301273,-3.4979158169858184e-05,1.2891112889450091e-05
