joint,load_case,step_type,U1,U2,U3,R1,R2,R3
4,BAO KT,Max,0.006055862746956198,0.0013914761955933143,-0.0026108115564820594,0.00021783923725143318,4.024017334918902e-05,0.00019534682762981925
4,BAO KT,Min,-0.003862717101179006,-0.013289250322396425,-0.0055616799169169225,-4.974017688717126e-06,-0.00013051505007907779,-5.391503162436166e-05
6,BAO KT,Max,0.005031126217536566,0.0013914425257919873,-0.002570389498012878,0.00023479133660153832,-8.986241310162463e-06,0.0001948959815233511
6,BAO KT,Min,-0.003647493125072589,-0.012675594145793287,-0.005474700035274218,1.1746439886843362e-05,-0.00016953846814230062,-5.373258180328684e-05
8,BAO KT,Max,0.00401123066665749,0.0015882892876774774,-0.002355936922547149,0.0001765285096774243,-2.9891137010226507e-05,0.00019425016513062652
8,BAO KT,Min,-0.0034617106036666434,-0.012063536339465039,-0.00500248191388421,-4.304619542115475e-06,-0.00017319516834533286,-5.35656073039622e-05
10,BAO KT,Max,0.0029954472289190795,0.002142448581734886,-0.0019123599900373793,0.0002566328298047709,-8.517699200675612e-06,0.00019400408481411144
10,BAO KT,Min,-0.0032765428787830575,-0.011454388446392917,-0.004192618801424339,-3.543494231345609e-05,-0.00014384767771442528,-5.3613597571540065e-05
12,BAO KT,Max,0.0008205807333390024,0.00334084830985004,-0.0016475149682603526,0.00010665066559350225,-5.560928085442626e-06,0.00019467836685798875
12,BAO KT,Min,-0.0033590286964458173,-0.010167144216030342,-0.003622744469735552,-0.00012375764202346662,-0.0001347024196761792,-5.519088310565893e-05
14,BAO KT,Max,-4.85455624730213e-05,0.003985516003744189,-0.0016227014388104134,6.022835543292366e-05,-1.9749732045569965e-05,0.00019638710746088613
14,BAO KT,Min,-0.004470442098597237,-0.009881357576003912,-0.0035857002117671787,-2.8134257203588335e-05,-0.00014896408481020226,-5.68859421726353e-05
16,BAO KT,Max,-0.0001439152152797339,0.004632847387353583,-0.001275776991001414,0.00022016304643269281,8.83973499558195e-06,0.00020067752652689315
16,BAO KT,Min,-0.005594127747754281,-0.009921713596157428,-0.0029547659776759934,-3.247824213042179e-05,-0.00013354425410645455,-6.035165836738877e-05
18,BAO KT,Max,0.0060557004676859896,0.0014852804418808937,-0.0026062366209589015,0.0002717395387697355,1.169576399004747e-05,0.00019577697826974718
18,BAO KT,Min,-0.0032659295516251022,-0.012337952911088291,-0.005596890747502767,3.5081466793859275e-05,-0.00011461093336023089,-5.4069142141981725e-05
26,BAO KT,Max,0.005030601536921781,0.0014852447141984273,-0.002397986164733913,0.00027710168279486224,-4.125507558051698e-05,0.0001953234531490456
26,BAO KT,Min,-0.0030506419123779087,-0.011724293831460468,-0.005137673331295138,3.640491788505052e-05,-0.00017968576366997113,-5.391421350383529e-05
28,BAO KT,Max,0.00401088382080873,0.001485267467720544,-0.002143422539179051,0.00016596247676419832,-5.4666221372201604e-05,0.0001949481249231059
28,BAO KT,Min,-0.0028650072845351044,-0.01111165876384229,-0.004540652296394711,-2.5194696416208295e-06,-0.00018790277094446378,-5.3842038186159134e-05
30,BAO KT,Max,0.0029952760781481722,0.001960435798284462,-0.0017985684052535362,0.0002193970987911992,-3.4156301975635e-05,0.0001949033655950095
30,BAO KT,Min,-0.002679955846173698,-0.010500168360115282,-0.0038411643550547215,-5.9715065193820164e-05,-0.00014989240166959976,-5.397024175349072e-05
32,BAO KT,Max,0.000821542277951147,0.0031504354354811425,-0.0015417289416182717,0.00012474516054254117,-3.4949748819636324e-05,0.00019600358263861158
32,BAO KT,Min,-0.0027613924399163083,-0.009202545207399363,-0.003332116699520717,-9.537183136792582e-05,-0.0001383037695274843,-5.546495098193157e-05
34,BAO KT,Max,-4.867676790283764e-05,0.0037856809469154016,-0.0014621162212362588,5.945168525883592e-05,-4.797951593398899e-05,0.00019773148788107344
34,BAO KT,Min,-0.003873203440688241,-0.008875687687473198,-0.0032138714498896534,-3.2651609534668374e-05,-0.00015832458513593246,-5.700840840298039e-05
36,BAO KT,Max,-0.00014416887901140616,0.004418531403658798,-0.00123355752348545,0.0001998168786073672,-2.671788704143513e-05,0.0002015190680913761
36,BAO KT,Min,-0.004998347547784452,-0.008884037579818338,-0.0027350595675650607,-5.980151005819896e-05,-0.00013166504907421127,-5.970169396447953e-05
38,BAO KT,Max,-0.00024064319347604236,0.00531541529019165,-0.000582552126430741,0.0003558887317472332,8.410742070924117e-05,0.00021545587342552443
38,BAO KT,Min,-0.00683902683138728,-0.010112240088234827,-0.0018533718376271666,8.406960071017065e-05,-9.305521999662341e-05,-7.383213477567109e-05
40,BAO KT,Max,-0.00024066229727218,0.005245861842524953,-0.0006436138697909426,0.0003478841307494202,8.390848195355857e-05,0.00021959638890254666
40,BAO KT,Min,-0.006685983531488337,-0.009833484211124177,-0.0019353690447298066,8.55169519771611e-05,-9.399171883461262e-05,-7.188676728586758e-05
42,BAO KT,Max,-0.00024038879947743707,0.005076097582555706,-0.0006100718562590921,0.00034437005472284294,3.088570866312897e-05,0.00021068580536526748
42,BAO KT,Min,-0.006235420015878025,-0.009011375380225313,-0.0020151820463775024,7.709667392969443e-05,-6.766449942528179e-05,-6.223356575401221e-05
44,BAO KT,Max,-0.0002405076814821234,0.005020003824937462,-0.0005813124390972019,0.0003338857801313352,2.4963239896111912e-05,0.0002046274574438406
44,BAO KT,Min,-0.006081544311644039,-0.008749510662568691,-0.0020067935107484056,7.483604982083347e-05,-5.829450354496215e-05,-6.0479750811860134e-05
46,BAO KT,Max,0.0019804628165470514,0.0027214227423641496,-0.0014980164243042768,6.30599475723133e-05,1.7398683702594077e-05,0.00019404807375725304
46,BAO KT,Min,-0.003166389763578812,-0.010970235415444696,-0.0035328037136710443,-4.408323190669342e-06,-9.995741749813766e-05,-5.482074906583648e-05
49,BAO KT,Max,0.001980592441830486,0.002671220952818581,-0.0014980209668937455,6.161536693378645e-05,1.63479320833941e-05,0.00019604026664512254
49,BAO KT,Min,-0.0030144094167202616,-0.010727963881428541,-0.003551990289644224,-4.364096136371576e-06,-0.00010236429471227895,-5.485270119718279e-05
51,BAO KT,Max,0.001981527111499906,0.0025410644643275703,-0.0014962961715189837,5.453357303298879e-05,-2.059768187699363e-06,0.0001957790468770656
51,BAO KT,Min,-0.002569820307949921,-0.010009624452142476,-0.0035116402364508297,-4.67236446271371e-06,-9.17199254216655e-05,-5.505757363888143e-05
53,BAO KT,Max,0.001981336266905579,0.0024882951793160934,-0.0014855067698030032,5.334425007376892e-05,-3.039202282779529e-06,0.00019605307858180547
53,BAO KT,Min,-0.002417903754297529,-0.009767947893104523,-0.003446357747568786,-4.221523732251885e-06,-9.182633874956677e-05,-5.5322734437738236e-05
55,BAO KT,Max,0.0060545024405310914,0.0015793977122538364,-0.002593332768073044,0.0003259753584195758,2.1446942794776033e-05,0.00019609183572060602
55,BAO KT,Min,-0.0026688331129668475,-0.011383397878652234,-0.005614543938615898,6.694949309940374e-05,-7.568256945645871e-05,-5.423825977107758e-05
57,BAO KT,Max,0.004937513133729158,0.0015793056802662232,-0.0021703212668799533,0.0002991119032203118,2.3089471556559516e-05,0.00019682525004600148
57,BAO KT,Min,-0.002438772885167841,-0.010716622035378478,-0.004695606359190208,5.5259298350536964e-05,-8.414118090329521e-05,-5.285938879286754e-05
59,BAO KT,Max,0.003918760203101047,0.0015793554425278338,-0.0018845462976986756,0.00015395909233325374,1.8861607976910408e-05,0.00019609059485898168
59,BAO KT,Min,-0.0022533463284038517,-0.010102891173958479,-0.004011932725424897,-2.266696001456524e-06,-8.02293509874772e-05,-5.2825889978732064e-05
61,BAO KT,Max,0.002903792596974331,0.0018238548373482083,-0.001626953921245267,0.00016398842317942756,1.4575178113532062e-05,0.00019580032004342047
61,BAO KT,Min,-0.0020683871893329383,-0.009489620920782808,-0.003425622850311285,-6.406903664359126e-05,-6.99655162686276e-05,-5.291944228481836e-05
63,BAO KT,Max,0.0007306747859127547,0.0030091389936670963,-0.0013674913774794294,0.00011397003773776855,1.10898785204991e-05,0.00019693523348581992
63,BAO KT,Min,-0.00224972097230085,-0.00818474781342421,-0.0029536449437158278,-5.325981543449166e-05,-7.518308508812456e-05,-5.43991907404727e-05
65,BAO KT,Max,-5.871150824027242e-05,0.0036405547245449916,-0.0012258599661156902,5.8185039976187914e-05,1.0204051058306725e-05,0.00019860209931201768
65,BAO KT,Min,-0.003362761099925432,-0.007877298654237327,-0.0027103769429436147,-3.485310661200926e-05,-7.796442807305636e-05,-5.575481839521221e-05
68,BAO KT,Max,-0.00015455040520479392,0.004270460073975446,-0.0010021337668848999,0.0001634803380425118,9.506105561282361e-06,0.00020155203316503354
68,BAO KT,Min,-0.004489491254210623,-0.007880869671871061,-0.0023003209934874024,-6.221850077364257e-05,-6.740519895064362e-05,-5.7677896666770236e-05
70,BAO KT,Max,-0.00024046157698791212,0.004878934765935579,-0.0005039194609611083,0.000315251061046027,1.1798577232815953e-05,0.00019566500981738766
70,BAO KT,Min,-0.00563077239914578,-0.00800092241918711,-0.0018489131078520116,5.522658931701243e-05,-4.83024483264175e-05,-5.6478800371247634e-05
81,BAO KT,Max,-0.00010939704831847401,0.004828549943816091,-0.0005306350279842862,0.0003100983688972978,1.6930358263092907e-05,0.0001913442386703086
