h_DN_m,h_DD_m,h_DCT_m,t_BMC_m,f1_khoiluong_Tan,f2_eta_max,TuRun
1.1,1.1,1.4,0.25,2311.93049999999,0.40530434687403,5
1.15,1.1,1.4,0.25,2338.34324999999,0.398561547769891,9
1.2,1.1,1.4,0.25,2364.75599999999,0.394828381257843,2
1.2,1.15,1.4,0.25,2382.17099999999,0.394356715716946,4
1.25,1.1,1.4,0.25,2391.16874999999,0.392253482352741,4
1.25,1.15,1.4,0.25,2408.58374999999,0.390591608868314,17
1.3,1.1,1.4,0.25,2417.58149999999,0.389998632436605,12
1.3,1.15,1.4,0.25,2434.99649999999,0.388384612007804,11
1.35,1.1,1.4,0.25,2443.99424999999,0.38801492268127,9
1.3,1.2,1.4,0.25,2452.41149999999,0.386919938271079,1
1.35,1.15,1.4,0.25,2461.40924999999,0.38644630620487,3
1.4,1.1,1.4,0.25,2470.40699999999,0.38626197563883,19
1.35,1.2,1.4,0.25,2478.82424999999,0.385021433656435,7
1.4,1.15,1.4,0.25,2487.82199999999,0.384736431593615,14
1.1,1.1,1.4,0.3,2491.93049999999,0.272758826376718,4
1.1,1.1,1.45,0.3,2507.92049999999,0.272748833708961,12
1.1,1.15,1.4,0.3,2509.34549999999,0.272441289637356,19
1.15,1.1,1.4,0.3,2518.34324999999,0.272082438203814,4
1.15,1.1,1.45,0.3,2534.33324999999,0.272079700876621,1
1.15,1.15,1.4,0.3,2535.75824999999,0.265844022539684,1
1.2,1.15,1.4,0.3,2562.17099999999,0.260175978309381,5
1.25,1.15,1.4,0.3,2588.58374999999,0.259576901964097,13
1.25,1.2,1.4,0.3,2605.99874999999,0.256539011733301,19
1.3,1.2,1.4,0.3,2632.41149999999,0.254087733554016,8
1.3,1.25,1.4,0.3,2649.82649999999,0.253376353106469,9
1.35,1.2,1.4,0.3,2658.82424999999,0.252217584418239,3
1.35,1.25,1.4,0.3,2676.23924999999,0.250972709015381,20
1.4,1.2,1.4,0.3,2685.23699999999,0.250564101281777,19
1.35,1.3,1.4,0.3,2693.65424999999,0.250516688270014,3
1.4,1.25,1.4,0.3,2702.65199999999,0.249349653592681,9
1.1,1.2,1.4,0.35,2706.76049999999,0.243576777916179,17
1.1,1.2,1.45,0.35,2722.75049999999,0.243568637863106,16
1.1,1.25,1.4,0.35,2724.17549999999,0.235572400725044,2
1.1,1.3,1.4,0.35,2741.59049999999,0.228123964332802,16
1.1,1.35,1.4,0.35,2759.00549999999,0.222787884134008,17
1.1,1.4,1.4,0.35,2776.42049999999,0.219077595036695,3
1.1,1.45,1.4,0.35,2793.83549999999,0.21566379530613,19
1.15,1.4,1.4,0.35,2802.83324999999,0.214289398749883,8
1.1,1.5,1.4,0.35,2811.25049999999,0.21280205345809,10
1.15,1.45,1.4,0.35,2820.24824999999,0.208179831906245,13
1.15,1.5,1.4,0.35,2837.66324999999,0.204740823542206,11
1.15,1.55,1.4,0.35,2855.07824999999,0.203486069314525,12
1.2,1.5,1.4,0.35,2864.07599999999,0.202029258153526,10
1.2,1.55,1.4,0.35,2881.49099999999,0.197495880649062,1
1.25,1.55,1.4,0.35,2907.90374999999,0.19620981833535,19
1.25,1.6,1.4,0.35,2925.31874999999,0.192845725158473,11
1.3,1.6,1.4,0.35,2951.73149999999,0.190695220092599,14
1.3,1.65,1.4,0.35,2969.14649999999,0.189039156513813,7
1.35,1.65,1.4,0.35,2995.55924999999,0.185969477966387,7
1.4,1.65,1.4,0.35,3021.97199999999,0.185139749175988,3
1.4,1.7,1.4,0.35,3039.38699999999,0.182896844602928,3
1.45,1.7,1.4,0.35,3065.79974999999,0.18086627029132,10
1.45,1.75,1.4,0.35,3083.21474999999,0.180559035944051,20
1.5,1.7,1.4,0.35,3092.21249999999,0.180149458153562,2
