h_DN_m,h_DD_m,h_DCT_m,t_BMC_m,f1_khoiluong_Tan,f2_eta_max
1.1,1.1,1.4,0.25,2311.93049999999,0.405304346874034
1.15,1.1,1.4,0.25,2338.34324999999,0.3985615477699
1.2,1.1,1.4,0.25,2364.75599999999,0.394828381257855
1.2,1.15,1.4,0.25,2382.17099999999,0.394356715716969
1.25,1.1,1.4,0.25,2391.16874999999,0.392253482352746
1.25,1.15,1.4,0.25,2408.58374999999,0.390591608868342
1.3,1.1,1.4,0.25,2417.58149999999,0.389998632436625
1.3,1.15,1.4,0.25,2434.99649999999,0.388384612007805
1.35,1.1,1.4,0.25,2443.99424999999,0.388014922681285
1.3,1.2,1.4,0.25,2452.41149999999,0.386919938271077
1.4,1.1,1.4,0.25,2470.40699999999,0.386261975638833
1.35,1.2,1.4,0.25,2478.82424999999,0.385021433656457
1.4,1.15,1.4,0.25,2487.82199999999,0.384736431593642
1.1,1.1,1.4,0.3,2491.93049999999,0.272758826376827
1.1,1.15,1.4,0.3,2509.34549999999,0.272441289637371
1.15,1.1,1.4,0.3,2518.34324999999,0.272082438203915
1.15,1.15,1.4,0.3,2535.75824999999,0.265844022539733
1.2,1.15,1.4,0.3,2562.17099999999,0.260175978309435
1.25,1.15,1.4,0.3,2588.58374999999,0.259576901964193
1.3,1.15,1.4,0.3,2614.99649999999,0.259029985193642
1.25,1.25,1.4,0.3,2623.41374999999,0.257967123373383
1.3,1.25,1.4,0.3,2649.82649999999,0.253376353106476
1.35,1.2,1.4,0.3,2658.82424999999,0.252217584418253
1.35,1.25,1.4,0.3,2676.23924999999,0.250972709015404
1.35,1.3,1.4,0.3,2693.65424999999,0.250516688270028
1.4,1.25,1.4,0.3,2702.65199999999,0.249349653592701
1.1,1.2,1.4,0.35,2706.76049999999,0.243576777916221
1.1,1.25,1.4,0.35,2724.17549999999,0.235572400725069
1.1,1.3,1.4,0.35,2741.59049999999,0.228123964332938
1.1,1.35,1.4,0.35,2759.00549999999,0.222787884133999
1.1,1.4,1.4,0.35,2776.42049999999,0.219077595036832
1.1,1.45,1.4,0.35,2793.83549999999,0.215663795306196
1.15,1.4,1.4,0.35,2802.83324999999,0.214289398750012
1.1,1.5,1.4,0.35,2811.25049999999,0.212802053458153
1.15,1.45,1.4,0.35,2820.24824999999,0.208179831906344
1.15,1.5,1.4,0.35,2837.66324999999,0.204740823542314
1.15,1.55,1.4,0.35,2855.07824999999,0.203486069314532
1.2,1.5,1.4,0.35,2864.07599999999,0.202029258153548
1.2,1.55,1.4,0.35,2881.49099999999,0.197495880649084
1.25,1.55,1.4,0.35,2907.90374999999,0.196209818335503
1.25,1.6,1.4,0.35,2925.31874999999,0.192845725158509
1.3,1.6,1.4,0.35,2951.73149999999,0.190695220092662
1.3,1.65,1.4,0.35,2969.14649999999,0.189039156513814
1.35,1.65,1.4,0.35,2995.55924999999,0.185969477966455
1.4,1.65,1.4,0.35,3021.97199999999,0.185139749176076
1.45,1.65,1.4,0.35,3048.38474999999,0.184835239966816
1.45,1.7,1.4,0.35,3065.79974999999,0.180866270291422
1.45,1.75,1.4,0.35,3083.21474999999,0.18055903594406
1.5,1.7,1.4,0.35,3092.21249999999,0.180149458153612
1.5,1.75,1.4,0.35,3109.62749999999,0.178057618921096
1.25,1.75,1.4,0.4,3157.56374999999,0.177396895575727
1.6,1.75,1.4,0.35,3162.45299999999,0.175794451661058
1.25,1.8,1.4,0.4,3174.97874999999,0.174624767953555
1.6,1.8,1.4,0.35,3179.86799999999,0.174255437060045
1.3,1.8,1.4,0.4,3201.39149999999,0.173680862102927
1.3,1.85,1.4,0.4,3218.80649999999,0.170980112320236
1.25,2,1.4,0.4,3244.63874999999,0.167649283510085
1.35,1.9,1.4,0.4,3262.63424999999,0.167469853768084
1.3,2,1.4,0.4,3271.05149999999,0.163410190068899
1.35,2,1.4,0.4,3297.46424999999,0.162471589623058
1.4,2,1.4,0.4,3323.87699999999,0.161614957962536
1.45,2,1.4,0.4,3350.28974999999,0.160830635111775
1.5,2,1.4,0.4,3376.70249999999,0.160110281546724
1.55,2,1.4,0.4,3403.11524999999,0.159446741612193
1.6,2,1.4,0.4,3429.52799999999,0.158833905512214
1.65,2,1.4,0.4,3455.94074999999,0.158266576357725
1.7,2,1.4,0.4,3482.35349999999,0.157740346045991
1.4,2,1.4,0.45,3503.87699999999,0.157547346965903
1.75,2,1.4,0.4,3508.76624999999,0.157274331336697
1.45,2,1.4,0.45,3530.28974999999,0.156872107217002
1.5,2,1.4,0.45,3556.70249999999,0.156250752796415
1.55,2,1.4,0.45,3583.11524999999,0.155987746017764
1.6,2,1.4,0.45,3609.52799999999,0.155812430890394
1.65,2,1.4,0.45,3635.94074999999,0.155654221556443
1.7,2,1.4,0.45,3662.35349999999,0.155512101660711
1.75,2,1.4,0.45,3688.76624999999,0.155385235930062
