frame,pile_type,fem_length_m,Lfab_m_calibrated
1,BTCT_D800,25.748214,34.231359
2,BTCT_D800,25.748214,34.231359
3,BTCT_D800,25.748214,34.231359
4,BTCT_D800,25.748214,34.231359
5,BTCT_D800,25.748214,34.231359
6,BTCT_D800,25.748214,34.231359
7,BTCT_D800,25.748214,34.231359
8,BTCT_D800,25.748214,34.231359
9,BTCT_D800,25.748214,34.231359
10,BTCT_D800,25.748214,34.231359
11,BTCT_D800,25.748214,34.231359
12,BTCT_D800,25.748214,34.231359
13,BTCT_D800,25.748214,34.231359
14,BTCT_D800,25.751427,34.234987
15,BTCT_D800,25.751427,34.234987
16,BTCT_D800,25.751427,34.234987
17,BTCT_D800,25.751427,34.234987
18,BTCT_D800,24.746429,33.100108
19,BTCT_D800,24.746429,33.100108
20,BTCT_D800,24.746429,33.100108
21,BTCT_D800,24.746429,33.100108
22,BTCT_D800,24.746429,33.100108
23,BTCT_D800,24.746429,33.100108
24,BTCT_D800,24.746429,33.100108
25,BTCT_D800,24.746429,33.100108
26,BTCT_D800,24.746429,33.100108
27,BTCT_D800,24.746429,33.100108
28,BTCT_D800,24.746429,33.100108
29,BTCT_D800,24.746429,33.100108
30,BTCT_D800,24.746429,33.100108
31,BTCT_D800,24.743411,33.096700
32,BTCT_D800,24.743411,33.096700
33,BTCT_D800,24.743411,33.096700
34,BTCT_D800,24.743411,33.096700
35,BTCT_D800,26.750000,35.362610
36,BTCT_D800,26.750000,35.362610
37,BTCT_D800,22.700000,30.789210
38,BTCT_D800,22.700000,30.789210
39,BTCT_D800,26.750000,35.362610
40,BTCT_D800,22.700000,30.789210
41,BTCT_D800,22.700000,30.789210
42,BTCT_D800,22.700000,30.789210
43,BTCT_D800,22.700000,30.789210
44,BTCT_D800,26.750000,35.362610
45,BTCT_D800,22.700000,30.789210
46,BTCT_D800,22.700000,30.789210
47,BTCT_D800,22.700000,30.789210
48,BTCT_D800,26.750000,35.362610
49,BTCT_D800,22.700000,30.789210
50,BTCT_D800,22.700000,30.789210
51,BTCT_D800,22.700000,30.789210
52,BTCT_D800,26.750000,35.362610
53,BTCT_D800,22.700000,30.789210
54,BTCT_D800,22.695880,30.784557
55,BTCT_D800,22.695880,30.784557
56,BTCT_D800,26.750000,35.362610
57,BTCT_D800,22.695880,30.784557
58,BTCT_D800,22.695880,30.784557
59,BTCT_D800,20.230000,28.000000
60,BTCT_D800,26.750000,35.362610
61,BTCT_D800,21.000000,28.869511
62,BTCT_D800,21.900000,29.885822
63,BTCT_D800,20.230000,28.000000
64,BTCT_D800,26.750000,35.362610
65,BTCT_D800,21.000000,28.869511
