run,GD,IGD,RepositorySize,NumExactMatch
1,0.000000,0.000000,100,100
2,0.000000,0.000129,100,100
3,0.000000,0.000129,100,100
4,0.000000,0.000129,100,100
5,0.000000,0.000000,100,100
6,0.000000,0.000129,100,100
7,0.000000,0.000129,100,100
8,0.000000,0.000254,100,100
9,0.000000,0.000129,100,100
10,0.000000,0.000000,100,100
11,0.000000,0.000000,100,100
12,0.000000,0.000219,100,100
13,0.000000,0.000129,100,100
14,0.000000,0.000129,100,100
15,0.000000,0.000000,100,100
16,0.000000,0.000129,100,100
17,0.000000,0.000129,100,100
18,0.000000,0.000129,100,100
19,0.000000,0.000129,100,100
20,0.000000,0.000219,100,100
21,0.000000,0.000000,100,100
22,0.000000,0.000129,100,100
23,0.000000,0.000129,100,100
24,0.000000,0.000129,100,100
25,0.000000,0.000000,100,100
26,0.000000,0.000000,100,100
27,0.000000,0.000129,100,100
28,0.000000,0.000129,100,100
29,0.000000,0.000000,100,100
30,0.000000,0.000129,100,100
