run,GD,IGD,RepositorySize,NumExactMatch
1,0.000000,0.000879,100,100
2,0.000000,0.000394,100,100
3,0.000000,0.000752,100,100
4,0.000000,0.000266,100,100
5,0.000000,0.000129,100,100
6,0.000000,0.000498,100,100
7,0.000000,0.000413,100,100
8,0.000000,0.000476,100,100
9,0.000000,0.000439,100,100
10,0.000000,0.000446,100,100
11,0.000000,0.000843,100,100
12,0.000000,0.000572,100,100
13,0.000000,0.000334,100,100
14,0.000000,0.000432,100,100
15,0.000000,0.000449,100,100
16,0.000250,0.000495,100,98
17,0.000000,0.000201,100,100
18,0.000000,0.000648,100,100
19,0.000000,0.000665,100,100
20,0.000177,0.000565,100,99
21,0.000250,0.000355,100,98
22,0.000000,0.000315,100,100
23,0.000000,0.000598,100,100
24,0.000000,0.000366,100,100
25,0.000000,0.000388,100,100
26,0.000000,0.000747,100,100
27,0.000000,0.000684,100,100
28,0.000000,0.000671,100,100
29,0.000000,0.000580,100,100
30,0.000250,0.000596,100,98
