CatIdx,D_thep_m,t_thep_m,f1_tan,f2_m,is_pareto
1,0.9,0.012,11607.602,0.086923,0
2,0.9,0.012,10903.85,0.060795,0
3,0.9,0.012,10605.321,0.044203,0
1,0.925,0.012,11056.724,0.080721,0
2,0.925,0.012,10328.789,0.056388,0
3,0.925,0.012,10038.967,0.041138,0
1,0.95,0.012,10518.952,0.074895,0
2,0.95,0.012,9764.197,0.052206,0
3,0.95,0.012,9479.603,0.038196,0
1,0.975,0.012,9993.881,0.069421,0
2,0.975,0.012,9209.903,0.048238,0
3,0.975,0.012,8927.248,0.035374,0
1,1.0,0.012,9481.14,0.064275,0
2,1.0,0.012,8665.753,0.044472,0
3,1.0,0.012,8381.934,0.032667,0
1,1.025,0.012,8980.379,0.059437,0
2,1.025,0.012,8131.605,0.040899,0
3,1.025,0.012,7843.695,0.030071,0
1,1.05,0.012,8491.27,0.054886,0
2,1.05,0.012,7607.325,0.037507,0
3,1.05,0.012,7312.572,0.027582,0
1,1.075,0.012,8013.503,0.050605,0
2,1.075,0.012,7092.789,0.034289,0
3,1.075,0.012,6788.606,0.025195,0
1,1.1,0.012,7546.783,0.046576,0
2,1.1,0.012,6587.875,0.031235,0
3,1.1,0.012,6272.121,0.022909,0
1,0.9,0.013,10585.421,0.074961,0
2,0.9,0.013,9823.222,0.052279,0
3,0.9,0.013,9532.574,0.038255,0
1,0.925,0.013,10043.03,0.069311,0
2,0.925,0.013,9250.974,0.048186,0
3,0.925,0.013,8962.778,0.035346,0
1,0.95,0.013,9513.757,0.064013,0
2,0.95,0.013,8689.544,0.04431,0
3,0.95,0.013,8400.53,0.032561,0
1,0.975,0.013,8997.177,0.059043,0
2,0.975,0.013,8138.733,0.040639,0
3,0.975,0.013,7845.825,0.029894,0
1,1.0,0.013,8492.898,0.054378,0
2,1.0,0.013,7598.356,0.037162,0
3,1.0,0.013,7298.666,0.027341,0
1,1.025,0.013,8000.554,0.049999,0
2,1.025,0.013,7068.245,0.033869,0
3,1.025,0.013,6759.067,0.024897,0
1,1.05,0.013,7519.801,0.045887,0
2,1.05,0.013,6548.24,0.03075,0
3,1.05,0.013,6227.041,0.022559,0
1,1.075,0.013,7050.312,0.042023,0
2,1.075,0.013,6038.19,0.027794,0
3,1.075,0.013,5702.608,0.020321,0
1,1.1,0.013,6591.779,0.038392,0
2,1.1,0.013,5537.95,0.024995,0
3,1.1,0.013,5185.785,0.01818,0
1,0.9,0.014,9656.492,0.064883,0
2,0.9,0.014,8831.029,0.044975,0
3,0.9,0.014,8537.473,0.03305,0
1,0.925,0.014,9121.918,0.059714,0
2,0.925,0.014,8261.801,0.041166,0
3,0.925,0.014,7965.171,0.030288,0
1,0.95,0.014,8600.423,0.054875,0
2,0.95,0.014,7703.664,0.037565,0
3,0.95,0.014,7400.9,0.027649,0
1,0.975,0.014,8091.568,0.050341,0
2,0.975,0.014,7156.392,0.03416,0
3,0.975,0.014,6844.631,0.025127,0
1,1.0,0.014,7594.944,0.046092,0
2,1.0,0.014,6619.775,0.030941,0
3,1.0,0.014,6296.343,0.022717,0
1,1.025,0.014,7110.172,0.042109,0
2,1.025,0.014,6093.619,0.027897,0
3,1.025,0.014,5756.026,0.020415,0
1,1.05,0.014,6636.894,0.038372,0
2,1.05,0.014,5577.743,0.025018,0
3,1.05,0.014,5223.67,0.018215,0
1,1.075,0.014,6174.772,0.034867,0
2,1.075,0.014,5071.972,0.022295,0
3,1.075,0.014,4699.272,0.016114,0
1,1.1,0.014,5723.488,0.031576,0
2,1.1,0.014,4576.142,0.019719,0
3,1.1,0.014,4182.827,0.014107,0
1,0.9,0.015,8806.542,0.056312,0
2,0.9,0.015,7915.035,0.038664,0
3,0.9,0.015,7610.48,0.028468,0
1,0.925,0.015,8279.113,0.051564,0
2,0.925,0.015,7348.881,0.03511,0
3,0.925,0.015,7036.367,0.025844,0
1,0.95,0.015,7764.688,0.047124,0
2,0.95,0.015,6794.028,0.031756,0
3,0.95,0.015,6470.702,0.023342,0
1,0.975,0.015,7262.815,0.042973,0
2,0.975,0.015,6250.225,0.02859,0
3,0.975,0.015,5913.434,0.020954,0
1,1.0,0.015,6773.074,0.039087,0
2,1.0,0.015,5717.24,0.025601,0
3,1.0,0.015,5364.519,0.018677,0
1,1.025,0.015,6295.073,0.035447,0
2,1.025,0.015,5194.858,0.022779,0
3,1.025,0.015,4823.922,0.016505,0
1,1.05,0.015,5828.445,0.032037,0
2,1.05,0.015,4682.877,0.020114,0
