Algorithm,Run,GD,IGD,HV,RepositorySize,NumExactMatch
MOFDA,1,0,0.000879148550505133,41654.0121983298,100,100
MOFDA,2,0,0.000394359086539702,41654.0203574422,100,100
MOFDA,3,0,0.000751557268115646,41654.009528321,100,100
MOFDA,4,0,0.000266424592659996,41654.0199176594,100,100
MOFDA,5,0,0.000128566947442505,41654.0212721746,100,100
MOFDA,6,0,0.000497986077818833,41654.0181002352,100,100
MOFDA,7,0,0.000412992733818738,41654.0191252684,100,100
MOFDA,8,0,0.000476141558375171,41654.017800111,100,100
MOFDA,9,0,0.000438792273547891,41654.019783774,100,100
MOFDA,10,0,0.000446145432239089,41654.0192867926,100,100
MOFDA,11,0,0.000843397464168934,41654.0131406295,100,100
MOFDA,12,0,0.000571885180107432,41654.0124007653,100,100
MOFDA,13,0,0.000334379119031271,41654.0191932715,100,100
MOFDA,14,0,0.000431683572017033,41654.0185215014,100,100
MOFDA,15,0,0.000449326216566722,41654.0190015598,100,100
MOFDA,16,0.000250451139658598,0.000494724507796137,41654.0116831525,100,98
MOFDA,17,0,0.000200606169958991,41654.0204193467,100,100
MOFDA,18,0,0.000647561240240612,41654.0154671094,100,100
MOFDA,19,0,0.000665314308218255,41654.0007167925,100,100
MOFDA,20,0.000177095699208493,0.00056478260716263,41654.0103010264,100,99
MOFDA,21,0.000250451139658598,0.000355006114492001,41654.0137491546,100,98
MOFDA,22,0,0.000315066849455964,41654.0202925006,100,100
MOFDA,23,0,0.000597983047721246,41653.9927076597,100,100
MOFDA,24,0,0.000366039533482701,41654.0195002679,100,100
MOFDA,25,0,0.000387513697892299,41654.0202250183,100,100
MOFDA,26,0,0.000746523405099301,41654.0085754783,100,100
MOFDA,27,0,0.000683687688478229,41654.0096979254,100,100
MOFDA,28,0,0.000671286416277494,41654.0172388321,100,100
MOFDA,29,0,0.000579939108804785,41654.0181216831,100,100
MOFDA,30,0.000250451139658598,0.000596028341830602,41654.0106969282,100,98
EMOSFOA,1,0,0,41654.0216198951,100,100
EMOSFOA,2,0,0.000128566947442505,41654.0212721746,100,100
EMOSFOA,3,0,0.000129446257243628,41654.0212679873,100,100
EMOSFOA,4,0,0.000128566947442505,41654.0212721746,100,100
EMOSFOA,5,0,0,41654.0216198951,100,100
EMOSFOA,6,0,0.000128566947442505,41654.0212721746,100,100
EMOSFOA,7,0,0.000128566947442505,41654.0212721746,100,100
EMOSFOA,8,0,0.000254067215026206,41654.0212714114,100,100
EMOSFOA,9,0,0.000128566947442505,41654.0212721746,100,100
EMOSFOA,10,0,0,41654.0216198951,100,100
EMOSFOA,11,0,0,41654.0216198951,100,100
EMOSFOA,12,0,0.000219136235653733,41654.0216191319,100,100
EMOSFOA,13,0,0.000128566947442505,41654.0212721746,100,100
EMOSFOA,14,0,0.000128566947442505,41654.0212721746,100,100
EMOSFOA,15,0,0,41654.0216198951,100,100
EMOSFOA,16,0,0.000128566947442505,41654.0212721746,100,100
EMOSFOA,17,0,0.000128566947442505,41654.0212721746,100,100
EMOSFOA,18,0,0.000128566947442505,41654.0212721746,100,100
EMOSFOA,19,0,0.000128566947442505,41654.0212721746,100,100
EMOSFOA,20,0,0.000219136235653733,41654.0216191319,100,100
EMOSFOA,21,0,0,41654.0216198951,100,100
EMOSFOA,22,0,0.000129446257243628,41654.0212679873,100,100
EMOSFOA,23,0,0.000129446257243628,41654.0212679873,100,100
EMOSFOA,24,0,0.000128566947442505,41654.0212721746,100,100
EMOSFOA,25,0,0,41654.0216198951,100,100
EMOSFOA,26,0,0,41654.0216198951,100,100
EMOSFOA,27,0,0.000129446257243628,41654.0212679873,100,100
EMOSFOA,28,0,0.000128566947442505,41654.0212721746,100,100
EMOSFOA,29,0,0,41654.0216198951,100,100
EMOSFOA,30,0,0.000128566947442505,41654.0212721746,100,100
