source,CatIdx,D_thep_m,t_thep_m,f1_tan,f2_mm,matched_both
True_Pareto,1,1.1,0.018,3030.61,13.878,1
True_Pareto,1,1.075,0.019,3056.82,13.76,1
True_Pareto,1,1.1,0.019,3077.98,13.534,1
True_Pareto,1,1.075,0.02,3102.98,13.438,1
True_Pareto,1,1.1,0.02,3125.26,13.22,1
True_Pareto,2,1.1,0.018,3587.14,13.153,1
True_Pareto,2,1.075,0.019,3613.34,13.052,1
True_Pareto,2,1.1,0.019,3634.5,12.862,1
True_Pareto,2,1.075,0.02,3659.5,12.78,1
True_Pareto,2,1.1,0.02,3681.78,12.596,1
True_Pareto,3,1.075,0.018,4183.59,12.525,1
True_Pareto,3,1.1,0.018,4203.65,12.368,1
True_Pareto,3,1.075,0.019,4229.85,12.287,1
True_Pareto,3,1.1,0.019,4251.01,12.134,1
True_Pareto,3,1.075,0.02,4276.01,12.067,1
True_Pareto,3,1.1,0.02,4298.29,11.918,1
MOFDA,1,1.075,0.019,3056.82,13.76,1
MOFDA,1,1.05,0.02,3080.7,13.665,0
MOFDA,1,1.075,0.02,3102.98,13.438,1
MOFDA,1,1.1,0.02,3125.26,13.22,1
MOFDA,3,1.1,0.015,4061.01,13.203,0
MOFDA,3,1.075,0.016,4090.82,13.064,0
MOFDA,3,1.0,0.018,4123.44,13.024,0
MOFDA,3,1.025,0.018,4143.49,12.852,0
MOFDA,3,1.1,0.017,4156.19,12.622,0
MOFDA,3,1.075,0.018,4183.59,12.525,1
MOFDA,3,1.075,0.019,4229.85,12.287,1
MOFDA,3,1.1,0.019,4251.01,12.134,1
MOFDA,3,1.075,0.02,4276.01,12.067,1
MOFDA,3,1.1,0.02,4298.29,11.918,1
