[2026-09-12 16:04:27] === watchdog_campaign start: Proj=A Nrun=20 Npop=8 Max_it=20 Num_work=8 ===
[2026-09-12 16:04:30] ----- Bat dau run01 (1/20) -----
[2026-09-12 16:04:34] run01 : launching MATLAB (attempt 1)
[2026-09-12 16:04:54] run01 : poll - elapsed=20s log_stale=9s
[2026-09-12 16:05:14] run01 : poll - elapsed=40s log_stale=15s
[2026-09-12 16:05:34] run01 : poll - elapsed=60s log_stale=36s
[2026-09-12 16:05:54] run01 : poll - elapsed=80s log_stale=56s
[2026-09-12 16:06:14] run01 : poll - elapsed=100s log_stale=76s
[2026-09-12 16:06:34] run01 : poll - elapsed=120s log_stale=96s
[2026-09-12 16:06:54] run01 : poll - elapsed=140s log_stale=116s
[2026-09-12 16:07:14] run01 : poll - elapsed=160s log_stale=136s
[2026-09-12 16:07:34] run01 : poll - elapsed=180s log_stale=156s
[2026-09-12 16:07:54] run01 : poll - elapsed=200s log_stale=176s
[2026-09-12 16:08:14] run01 : poll - elapsed=220s log_stale=10s
[2026-09-12 16:08:34] run01 : poll - elapsed=240s log_stale=30s
[2026-09-12 16:08:54] run01 : poll - elapsed=260s log_stale=50s
[2026-09-12 16:09:14] run01 : poll - elapsed=280s log_stale=70s
[2026-09-12 16:09:34] run01 : poll - elapsed=300s log_stale=90s
[2026-09-12 16:09:54] run01 : poll - elapsed=320s log_stale=110s
[2026-09-12 16:10:14] run01 : poll - elapsed=340s log_stale=130s
[2026-09-12 16:10:34] run01 : poll - elapsed=360s log_stale=8s
[2026-09-12 16:10:54] run01 : poll - elapsed=380s log_stale=28s
[2026-09-12 16:11:14] run01 : poll - elapsed=400s log_stale=48s
[2026-09-12 16:11:34] run01 : poll - elapsed=420s log_stale=68s
[2026-09-12 16:11:55] run01 : poll - elapsed=440s log_stale=88s
[2026-09-12 16:12:15] run01 : poll - elapsed=460s log_stale=108s
[2026-09-12 16:12:35] run01 : poll - elapsed=480s log_stale=128s
[2026-09-12 16:12:55] run01 : poll - elapsed=501s log_stale=8s
[2026-09-12 16:13:15] run01 : poll - elapsed=521s log_stale=28s
[2026-09-12 16:13:35] run01 : poll - elapsed=541s log_stale=48s
[2026-09-12 16:13:55] run01 : poll - elapsed=561s log_stale=68s
[2026-09-12 16:14:15] run01 : poll - elapsed=581s log_stale=88s
[2026-09-12 16:14:35] run01 : poll - elapsed=601s log_stale=108s
[2026-09-12 16:14:55] run01 : poll - elapsed=621s log_stale=128s
[2026-09-12 16:15:15] run01 : poll - elapsed=641s log_stale=5s
[2026-09-12 16:15:35] run01 : poll - elapsed=661s log_stale=25s
[2026-09-12 16:15:55] run01 : poll - elapsed=681s log_stale=45s
[2026-09-12 16:16:15] run01 : poll - elapsed=701s log_stale=65s
[2026-09-12 16:16:35] run01 : poll - elapsed=721s log_stale=85s
[2026-09-12 16:16:55] run01 : poll - elapsed=741s log_stale=105s
[2026-09-12 16:17:15] run01 : poll - elapsed=761s log_stale=125s
[2026-09-12 16:17:35] run01 : poll - elapsed=781s log_stale=2s
[2026-09-12 16:17:55] run01 : poll - elapsed=801s log_stale=22s
