[2026-09-11 17:56:52] === watchdog_campaign start: Proj=B Nrun=20 Npop=8 Max_it=20 Num_work=8 ===
[2026-09-11 17:56:55] ----- Bat dau run01 (1/20) -----
[2026-09-11 17:56:59] run01 : launching MATLAB (attempt 1)
[2026-09-11 17:57:19] run01 : poll - elapsed=20s log_stale=9s
[2026-09-11 17:57:39] run01 : poll - elapsed=40s log_stale=15s
[2026-09-11 17:57:59] run01 : poll - elapsed=60s log_stale=35s
[2026-09-11 17:58:19] run01 : poll - elapsed=80s log_stale=55s
[2026-09-11 17:58:39] run01 : poll - elapsed=100s log_stale=75s
[2026-09-11 17:58:59] run01 : poll - elapsed=120s log_stale=95s
[2026-09-11 17:59:19] run01 : poll - elapsed=140s log_stale=115s
[2026-09-11 17:59:39] run01 : poll - elapsed=160s log_stale=135s
[2026-09-11 17:59:59] run01 : poll - elapsed=180s log_stale=155s
[2026-09-11 18:00:19] run01 : poll - elapsed=200s log_stale=175s
[2026-09-11 18:00:39] run01 : poll - elapsed=220s log_stale=195s
[2026-09-11 18:00:59] run01 : poll - elapsed=240s log_stale=215s
[2026-09-11 18:01:19] run01 : poll - elapsed=260s log_stale=235s
[2026-09-11 18:01:39] run01 : poll - elapsed=280s log_stale=19s
[2026-09-11 18:01:59] run01 : poll - elapsed=300s log_stale=39s
[2026-09-11 18:02:19] run01 : poll - elapsed=320s log_stale=59s
[2026-09-11 18:02:39] run01 : poll - elapsed=340s log_stale=79s
[2026-09-11 18:02:59] run01 : poll - elapsed=360s log_stale=99s
[2026-09-11 18:03:19] run01 : poll - elapsed=380s log_stale=119s
[2026-09-11 18:03:39] run01 : poll - elapsed=400s log_stale=139s
[2026-09-11 18:03:59] run01 : poll - elapsed=420s log_stale=159s
[2026-09-11 18:04:19] run01 : poll - elapsed=440s log_stale=179s
[2026-09-11 18:04:39] run01 : poll - elapsed=460s log_stale=12s
[2026-09-11 18:04:59] run01 : poll - elapsed=481s log_stale=32s
[2026-09-11 18:05:19] run01 : poll - elapsed=501s log_stale=52s
[2026-09-11 18:05:39] run01 : poll - elapsed=521s log_stale=72s
[2026-09-11 18:05:59] run01 : poll - elapsed=541s log_stale=92s
[2026-09-11 18:06:19] run01 : poll - elapsed=561s log_stale=112s
[2026-09-11 18:06:39] run01 : poll - elapsed=581s log_stale=132s
[2026-09-11 18:06:59] run01 : poll - elapsed=601s log_stale=152s
[2026-09-11 18:07:19] run01 : poll - elapsed=621s log_stale=172s
[2026-09-11 18:07:39] run01 : poll - elapsed=641s log_stale=7s
[2026-09-11 18:07:59] run01 : poll - elapsed=661s log_stale=27s
[2026-09-11 18:08:19] run01 : poll - elapsed=681s log_stale=47s
[2026-09-11 18:08:39] run01 : poll - elapsed=701s log_stale=67s
[2026-09-11 18:08:59] run01 : poll - elapsed=721s log_stale=87s
[2026-09-11 18:09:19] run01 : poll - elapsed=741s log_stale=107s
[2026-09-11 18:09:39] run01 : poll - elapsed=761s log_stale=127s
[2026-09-11 18:09:59] run01 : poll - elapsed=781s log_stale=147s
[2026-09-11 18:10:19] run01 : poll - elapsed=801s log_stale=167s
[2026-09-11 18:10:39] run01 : poll - elapsed=821s log_stale=1s
[2026-09-11 18:10:59] run01 : poll - elapsed=841s log_stale=21s
[2026-09-11 18:11:19] run01 : poll - elapsed=861s log_stale=41s
[2026-09-11 18:11:39] run01 : poll - elapsed=881s log_stale=61s
[2026-09-11 18:11:59] run01 : poll - elapsed=901s log_stale=81s
[2026-09-11 18:12:20] run01 : poll - elapsed=921s log_stale=101s
[2026-09-11 18:12:40] run01 : poll - elapsed=941s log_stale=121s
[2026-09-11 18:13:00] run01 : poll - elapsed=961s log_stale=141s
[2026-09-11 18:13:20] run01 : poll - elapsed=981s log_stale=161s
[2026-09-11 18:13:40] run01 : poll - elapsed=1001s log_stale=181s
[2026-09-11 18:14:00] run01 : poll - elapsed=1021s log_stale=18s
[2026-09-11 18:14:20] run01 : poll - elapsed=1041s log_stale=38s
[2026-09-11 18:14:40] run01 : poll - elapsed=1061s log_stale=58s
[2026-09-11 18:15:00] run01 : poll - elapsed=1081s log_stale=78s
[2026-09-11 18:15:20] run01 : poll - elapsed=1101s log_stale=98s
[2026-09-11 18:15:40] run01 : poll - elapsed=1121s log_stale=118s
[2026-09-11 18:16:00] run01 : poll - elapsed=1141s log_stale=138s
[2026-09-11 18:16:20] run01 : poll - elapsed=1161s log_stale=158s
[2026-09-11 18:16:40] run01 : poll - elapsed=1181s log_stale=178s
[2026-09-11 18:17:00] run01 : poll - elapsed=1201s log_stale=12s
[2026-09-11 18:17:20] run01 : poll - elapsed=1221s log_stale=32s
[2026-09-11 18:17:40] run01 : poll - elapsed=1241s log_stale=52s
[2026-09-11 18:18:00] run01 : poll - elapsed=1261s log_stale=72s
[2026-09-11 18:18:20] run01 : poll - elapsed=1281s log_stale=92s
[2026-09-11 18:18:40] run01 : poll - elapsed=1301s log_stale=112s
[2026-09-11 18:19:00] run01 : poll - elapsed=1321s log_stale=132s
[2026-09-11 18:19:20] run01 : poll - elapsed=1341s log_stale=152s
[2026-09-11 18:19:40] run01 : poll - elapsed=1361s log_stale=172s
[2026-09-11 18:20:00] run01 : poll - elapsed=1381s log_stale=5s
[2026-09-11 18:20:20] run01 : poll - elapsed=1401s log_stale=25s
[2026-09-11 18:20:40] run01 : poll - elapsed=1421s log_stale=45s
[2026-09-11 18:21:00] run01 : poll - elapsed=1441s log_stale=65s
[2026-09-11 18:21:20] run01 : poll - elapsed=1461s log_stale=85s
[2026-09-11 18:21:40] run01 : poll - elapsed=1481s log_stale=105s
[2026-09-11 18:22:00] run01 : poll - elapsed=1502s log_stale=125s
[2026-09-11 18:22:20] run01 : poll - elapsed=1522s log_stale=145s
[2026-09-11 18:22:40] run01 : poll - elapsed=1542s log_stale=165s
[2026-09-11 18:23:00] run01 : poll - elapsed=1562s log_stale=185s
[2026-09-11 18:23:20] run01 : poll - elapsed=1582s log_stale=18s
