

 SAP2000 v24.0.0 Ultimate 64-bit (Analysis Build 9894/64)                       
 File: D:\OneDrive\Nature-Insp...ms\Multiobjectives\MOSFOA\MPJ_Sap\W05\MPJ_5.OUT
                                                                     
                                                                       

 D I S P L A C E M E N T   D E G R E E S   O F   F R E E D O M

         (A) = Active DOF, equilibrium equation
         (-) = Restrained DOF, reaction computed
         (+) = Constrained DOF
         (>) = External substructure DOF
         ( ) = Null DOF

  JOINTS              UX  UY  UZ  RX  RY  RZ
       1 TO      25    A   A   A   A   A   A
      26               -   -   A   -   -   -
      27               A   A   -   A   A   A
      28               A   A   A   A   A   A
      29               -   -   A   -   -   -
      30               A   A   -   A   A   A
      31               A   A   A   A   A   A
      32               -   -   A   -   -   -
      33               A   A   -   A   A   A
      34               A   A   A   A   A   A
      35               -   -   A   -   -   -
      36               A   A   -   A   A   A
      37               A   A   A   A   A   A
      38               -   -   A   -   -   -
      39               A   A   -   A   A   A
      40               -   -   A   -   -   -
      41               A   A   -   A   A   A
      42               -   -   A   -   -   -
      43               A   A   -   A   A   A
      44               -   -   A   -   -   -
      45               A   A   -   A   A   A
      46               -   -   A   -   -   -
      47               A   A   -   A   A   A
      48               -   -   A   -   -   -
      49               A   A   -   A   A   A
      50 TO    ~162    A   A   A   A   A   A
