
=== Session start 14-Aug-2026 16:47:57 (mode=pilot, Nrun=1) ===
[14-Aug-2026 17:03:54] run901 it=10/150 best(penalized)=2422.2269 raw=2422.2269 FEs=1100 elapsed=865.7s
[14-Aug-2026 17:19:59] run901 it=20/150 best(penalized)=2422.2269 raw=2422.2269 FEs=2100 elapsed=1830.8s
[14-Aug-2026 17:37:07] run901 it=30/150 best(penalized)=2422.2269 raw=2422.2269 FEs=3100 elapsed=2858.9s
[14-Aug-2026 17:55:05] run901 it=40/150 best(penalized)=2422.2269 raw=2422.2269 FEs=4100 elapsed=3936.4s
[14-Aug-2026 18:13:17] run901 it=50/150 best(penalized)=2422.2269 raw=2422.2269 FEs=5100 elapsed=5028.6s
[14-Aug-2026 18:31:49] run901 it=60/150 best(penalized)=2422.2269 raw=2422.2269 FEs=6100 elapsed=6141.3s
[14-Aug-2026 18:50:11] run901 it=70/150 best(penalized)=2422.2269 raw=2422.2269 FEs=7100 elapsed=7242.4s
[14-Aug-2026 19:08:34] run901 it=80/150 best(penalized)=2422.2269 raw=2422.2269 FEs=8100 elapsed=8346.3s
[14-Aug-2026 19:27:02] run901 it=90/150 best(penalized)=2422.2269 raw=2422.2269 FEs=9100 elapsed=9453.7s
[14-Aug-2026 19:45:29] run901 it=100/150 best(penalized)=2422.2269 raw=2422.2269 FEs=10100 elapsed=10560.9s
[14-Aug-2026 20:04:51] run901 it=110/150 best(penalized)=2422.2269 raw=2422.2269 FEs=11100 elapsed=11722.6s
[14-Aug-2026 20:25:26] run901 it=120/150 best(penalized)=2422.2269 raw=2422.2269 FEs=12100 elapsed=12957.6s
[14-Aug-2026 20:45:51] run901 it=130/150 best(penalized)=2422.2269 raw=2422.2269 FEs=13100 elapsed=14182.3s
[14-Aug-2026 21:06:21] run901 it=140/150 best(penalized)=2422.2269 raw=2422.2269 FEs=14100 elapsed=15412.6s
[14-Aug-2026 21:26:45] run901 it=150/150 best(penalized)=2422.2269 raw=2422.2269 FEs=15100 elapsed=16636.4s
[14-Aug-2026 21:26:45] run901 DONE best(penalized)=2422.2269 raw=2422.2269 elapsed=16636.4s -> saved D:\ResearchLab\02_Projects\02_Projects\Tap chi XD_SFOA\code\SOO_MD\results\MD_SOO_Cost_run901_PILOT.mat
