

 SAP2000 v24.0.0 Ultimate 64-bit (Analysis Build 9894/64)                       
 File: D:\ResearchLab\02_Proje...ts\Tap chi XD_SFOA\code\SOO_MPJ\MPJ_Sap\MPJ.OUT
                                                                     
                                                                       

 D I S P L A C E M E N T   D E G R E E S   O F   F R E E D O M

         (A) = Active DOF, equilibrium equation
         (-) = Restrained DOF, reaction computed
         (+) = Constrained DOF
         (>) = External substructure DOF
         ( ) = Null DOF

  JOINTS              UX  UY  UZ  RX  RY  RZ
       1 TO      32    A   A   A   A   A   A
      33               -   -   A   -   -   -
      34               A   A   -   A   A   A
      35               A   A   A   A   A   A
      36               -   -   A   -   -   -
      37               A   A   -   A   A   A
      38               A   A   A   A   A   A
      39               -   -   A   -   -   -
      40               A   A   -   A   A   A
      41               A   A   A   A   A   A
      42               -   -   A   -   -   -
      43               A   A   -   A   A   A
      44               A   A   A   A   A   A
      45               -   -   A   -   -   -
      46               A   A   -   A   A   A
      47               -   -   A   -   -   -
      48               A   A   -   A   A   A
      49               -   -   A   -   -   -
      50               A   A   -   A   A   A
      51               -   -   A   -   -   -
      52               A   A   -   A   A   A
      53               -   -   A   -   -   -
      54               A   A   -   A   A   A
      55               -   -   A   -   -   -
      56               A   A   -   A   A   A
      57               -   -   A   -   -   -
      58               A   A   -   A   A   A
      59               -   -   A   -   -   -
      60               A   A   -   A   A   A
      61               -   -   A   -   -   -
      62               A   A   -   A   A   A
      63               -   -   A   -   -   -
      64               A   A   -   A   A   A
      65               -   -   A   -   -   -
      66               A   A   -   A   A   A
      67 TO    ~212    A   A   A   A   A   A
