

 SAP2000 v24.0.0 Ultimate 64-bit (Analysis Build 9894/64)                       
 File: D:\ResearchLab\02_Proje...OA\code\SOO_MPJ\MPJ_Sap\SOO_Cost_W11\MPJ_11.OUT
                                                                     
                                                                       

 D I S P L A C E M E N T   D E G R E E S   O F   F R E E D O M

         (A) = Active DOF, equilibrium equation
         (-) = Restrained DOF, reaction computed
         (+) = Constrained DOF
         (>) = External substructure DOF
         ( ) = Null DOF

  JOINTS              UX  UY  UZ  RX  RY  RZ
  453618 TO  453650    A   A   A   A   A   A
  453651               -   -   A   -   -   -
  453652               A   A   -   A   A   A
  453653               A   A   A   A   A   A
  453654               -   -   A   -   -   -
  453655               A   A   -   A   A   A
  453656               A   A   A   A   A   A
  453657               -   -   A   -   -   -
  453658               A   A   -   A   A   A
  453659               A   A   A   A   A   A
  453660               -   -   A   -   -   -
  453661               A   A   -   A   A   A
  453662               A   A   A   A   A   A
  453663               -   -   A   -   -   -
  453664               A   A   -   A   A   A
  453665               A   A   A   A   A   A
  453666               -   -   A   -   -   -
  453667               A   A   -   A   A   A
  453668               A   A   A   A   A   A
  453669               -   -   A   -   -   -
  453670               A   A   -   A   A   A
  453671               -   -   A   -   -   -
  453672               A   A   -   A   A   A
  453673               -   -   A   -   -   -
  453674               A   A   -   A   A   A
  453675               -   -   A   -   -   -
  453676               A   A   -   A   A   A
  453677               -   -   A   -   -   -
  453678               A   A   -   A   A   A
  453679               -   -   A   -   -   -
  453680               A   A   -   A   A   A
  453681               -   -   A   -   -   -
  453682               A   A   -   A   A   A
  453683               -   -   A   -   -   -
  453684               A   A   -   A   A   A
  453685 TO    ~214    A   A   A   A   A   A
