
=== Session start 15-Aug-2026 22:37:08 (mode=smoke, Nrun=1) ===
[15-Aug-2026 22:38:24] run01 it=1/1 best(penalized)=0.0002 raw=0.0002 FEs=16 elapsed=21.7s
[15-Aug-2026 22:38:24] run01 DONE best(penalized)=0.0002 raw=0.0002 elapsed=21.7s -> saved D:\ResearchLab\02_Projects\02_Projects\Tap chi XD_SFOA\code\SOO_MPJ\results\MPJ_SOO_Displacement_run01_SMOKE.mat

=== Session start 17-Aug-2026 17:35:28 (mode=pilot30, Nrun=1) ===
[17-Aug-2026 17:41:44] run01 it=10/250 best(penalized)=0.0000 raw=0.0000 FEs=330 elapsed=294.2s
[17-Aug-2026 17:47:26] run01 it=20/250 best(penalized)=0.0000 raw=0.0000 FEs=630 elapsed=636.3s
[17-Aug-2026 17:50:49] run01 it=30/250 best(penalized)=0.0000 raw=0.0000 FEs=930 elapsed=838.8s
[17-Aug-2026 17:53:48] run01 it=40/250 best(penalized)=0.0000 raw=0.0000 FEs=1230 elapsed=1018.3s
[17-Aug-2026 17:57:54] run01 it=50/250 best(penalized)=0.0000 raw=0.0000 FEs=1530 elapsed=1264.5s
[17-Aug-2026 18:02:15] run01 it=60/250 best(penalized)=0.0000 raw=0.0000 FEs=1830 elapsed=1525.0s
[17-Aug-2026 18:07:07] run01 it=70/250 best(penalized)=0.0000 raw=0.0000 FEs=2130 elapsed=1817.4s
[17-Aug-2026 18:11:47] run01 it=80/250 best(penalized)=0.0000 raw=0.0000 FEs=2430 elapsed=2097.3s

=== Session start 17-Aug-2026 20:02:46 (mode=pilot30, Nrun=1) ===
[17-Aug-2026 20:08:24] run01 it=90/250 best(penalized)=0.0000 raw=0.0000 FEs=2730 elapsed=2354.0s
[17-Aug-2026 20:13:19] run01 it=100/250 best(penalized)=0.0000 raw=0.0000 FEs=3030 elapsed=2649.7s
[17-Aug-2026 20:18:50] run01 it=110/250 best(penalized)=0.0000 raw=0.0000 FEs=3330 elapsed=2980.0s
[17-Aug-2026 20:23:36] run01 it=120/250 best(penalized)=0.0000 raw=0.0000 FEs=3630 elapsed=3266.2s
