PileName,Section,DayZone,h0_m,Nd_T,TCVN_PunchCap_T,TCVN_ratio,vEd_MPa,vRdc_MPa,EN1992_ratio
74,C500,DAY60,0.5300,4.0983,183.6249,0.0223,0.0106,0.3210,0.0330
75,C400,DAY60,0.5300,1.0967,165.7972,0.0066,0.0029,0.3210,0.0092
76,C400,DAY60,0.5300,8.9357,165.7972,0.0539,0.0240,0.3210,0.0748
77,C400,DAY130,0.6300,14.1823,218.2711,0.0650,0.0277,0.3060,0.0904
82,C500,DAY60,0.5300,4.1291,183.6249,0.0225,0.0107,0.3210,0.0332
83,C400,DAY60,0.5300,0.6870,165.7972,0.0041,0.0018,0.3210,0.0058
84,C400,DAY60,0.5300,7.9168,165.7972,0.0477,0.0213,0.3210,0.0663
85,C400,DAY130,0.6300,14.0278,218.2711,0.0643,0.0274,0.3060,0.0895
86,C500,DAY60,0.5300,4.2212,183.6249,0.0230,0.0109,0.3210,0.0340
87,C400,DAY60,0.5300,0.7517,165.7972,0.0045,0.0020,0.3210,0.0063
88,C400,DAY60,0.5300,7.8233,165.7972,0.0472,0.0210,0.3210,0.0655
89,C400,DAY130,0.6300,13.8575,218.2711,0.0635,0.0270,0.3060,0.0884
90,C500,DAY60,0.5300,4.3293,183.6249,0.0236,0.0112,0.3210,0.0349
91,C400,DAY60,0.5300,0.8238,165.7972,0.0050,0.0022,0.3210,0.0069
92,C400,DAY60,0.5300,7.8372,165.7972,0.0473,0.0211,0.3210,0.0656
93,C400,DAY130,0.6300,13.8493,218.2711,0.0635,0.0270,0.3060,0.0883
94,C500,DAY60,0.5300,4.3617,183.6249,0.0238,0.0113,0.3210,0.0351
95,C400,DAY60,0.5300,0.8188,165.7972,0.0049,0.0022,0.3210,0.0069
96,C400,DAY60,0.5300,7.8450,165.7972,0.0473,0.0211,0.3210,0.0657
97,C400,DAY130,0.6300,13.8673,218.2711,0.0635,0.0271,0.3060,0.0884
98,C500,DAY60,0.5300,4.4051,183.6249,0.0240,0.0114,0.3210,0.0355
99,C400,DAY60,0.5300,0.8109,165.7972,0.0049,0.0022,0.3210,0.0068
100,C400,DAY60,0.5300,7.8461,165.7972,0.0473,0.0211,0.3210,0.0657
101,C400,DAY130,0.6300,13.8773,218.2711,0.0636,0.0271,0.3060,0.0885
102,C500,DAY60,0.5300,4.4178,183.6249,0.0241,0.0114,0.3210,0.0356
103,C400,DAY60,0.5300,0.8116,165.7972,0.0049,0.0022,0.3210,0.0068
104,C400,DAY60,0.5300,7.8455,165.7972,0.0473,0.0211,0.3210,0.0657
105,C400,DAY130,0.6300,13.8780,218.2711,0.0636,0.0271,0.3060,0.0885
106,C500,DAY60,0.5300,4.4294,183.6249,0.0241,0.0115,0.3210,0.0357
107,C400,DAY60,0.5300,0.8129,165.7972,0.0049,0.0022,0.3210,0.0068
108,C400,DAY60,0.5300,7.8450,165.7972,0.0473,0.0211,0.3210,0.0657
109,C400,DAY130,0.6300,13.8779,218.2711,0.0636,0.0271,0.3060,0.0885
110,C500,DAY60,0.5300,4.4294,183.6249,0.0241,0.0115,0.3210,0.0357
111,C400,DAY60,0.5300,0.8129,165.7972,0.0049,0.0022,0.3210,0.0068
112,C400,DAY60,0.5300,7.8450,165.7972,0.0473,0.0211,0.3210,0.0657
113,C400,DAY130,0.6300,13.8779,218.2711,0.0636,0.0271,0.3060,0.0885
114,C500,DAY60,0.5300,4.4178,183.6249,0.0241,0.0114,0.3210,0.0356
115,C400,DAY60,0.5300,0.8116,165.7972,0.0049,0.0022,0.3210,0.0068
116,C400,DAY60,0.5300,7.8455,165.7972,0.0473,0.0211,0.3210,0.0657
117,C400,DAY130,0.6300,13.8780,218.2711,0.0636,0.0271,0.3060,0.0885
118,C500,DAY60,0.5300,4.4051,183.6249,0.0240,0.0114,0.3210,0.0355
119,C400,DAY60,0.5300,0.8109,165.7972,0.0049,0.0022,0.3210,0.0068
120,C400,DAY60,0.5300,7.8461,165.7972,0.0473,0.0211,0.3210,0.0657
121,C400,DAY130,0.6300,13.8773,218.2711,0.0636,0.0271,0.3060,0.0885
122,C500,DAY60,0.5300,4.3617,183.6249,0.0238,0.0113,0.3210,0.0351
123,C400,DAY60,0.5300,0.8188,165.7972,0.0049,0.0022,0.3210,0.0069
124,C400,DAY60,0.5300,7.8450,165.7972,0.0473,0.0211,0.3210,0.0657
125,C400,DAY130,0.6300,13.8673,218.2711,0.0635,0.0271,0.3060,0.0884
126,C500,DAY60,0.5300,4.3293,183.6249,0.0236,0.0112,0.3210,0.0349
127,C400,DAY60,0.5300,0.8238,165.7972,0.0050,0.0022,0.3210,0.0069
128,C400,DAY60,0.5300,7.8372,165.7972,0.0473,0.0211,0.3210,0.0656
129,C400,DAY130,0.6300,13.8493,218.2711,0.0635,0.0270,0.3060,0.0883
130,C500,DAY60,0.5300,4.2212,183.6249,0.0230,0.0109,0.3210,0.0340
131,C400,DAY60,0.5300,0.7517,165.7972,0.0045,0.0020,0.3210,0.0063
132,C400,DAY60,0.5300,7.8233,165.7972,0.0472,0.0210,0.3210,0.0655
133,C400,DAY130,0.6300,13.8575,218.2711,0.0635,0.0270,0.3060,0.0884
134,C500,DAY60,0.5300,4.1291,183.6249,0.0225,0.0107,0.3210,0.0332
135,C400,DAY60,0.5300,0.6870,165.7972,0.0041,0.0018,0.3210,0.0058
136,C400,DAY60,0.5300,7.9168,165.7972,0.0477,0.0213,0.3210,0.0663
137,C400,DAY130,0.6300,14.0278,218.2711,0.0643,0.0274,0.3060,0.0895
138,C500,DAY60,0.5300,4.0983,183.6249,0.0223,0.0106,0.3210,0.0330
139,C400,DAY60,0.5300,1.0967,165.7972,0.0066,0.0029,0.3210,0.0092
140,C400,DAY60,0.5300,8.9357,165.7972,0.0539,0.0240,0.3210,0.0748
141,C400,DAY130,0.6300,14.1823,218.2711,0.0650,0.0277,0.3060,0.0904
142,C400,DAY60,0.5300,5.0509,165.7972,0.0305,0.0136,0.3210,0.0423
143,C400,DAY60,0.5300,11.9255,165.7972,0.0719,0.0321,0.3210,0.0998
144,C400,DAY60,0.5300,4.5970,165.7972,0.0277,0.0124,0.3210,0.0385
145,C400,DAY60,0.5300,11.3265,165.7972,0.0683,0.0304,0.3210,0.0948
146,C400,DAY60,0.5300,4.6267,165.7972,0.0279,0.0124,0.3210,0.0387
147,C400,DAY60,0.5300,10.4069,165.7972,0.0628,0.0280,0.3210,0.0871
148,C400,DAY60,0.5300,4.5497,165.7972,0.0274,0.0122,0.3210,0.0381
149,C400,DAY60,0.5300,10.9385,165.7972,0.0660,0.0294,0.3210,0.0916
150,C400,DAY60,0.5300,4.5785,165.7972,0.0276,0.0123,0.3210,0.0383
151,C400,DAY60,0.5300,10.9334,165.7972,0.0659,0.0294,0.3210,0.0915
152,C400,DAY60,0.5300,4.6932,165.7972,0.0283,0.0126,0.3210,0.0393
153,C400,DAY60,0.5300,10.3237,165.7972,0.0623,0.0277,0.3210,0.0864
154,C400,DAY60,0.5300,4.5895,165.7972,0.0277,0.0123,0.3210,0.0384
155,C400,DAY60,0.5300,10.9504,165.7972,0.0660,0.0294,0.3210,0.0917
156,C400,DAY60,0.5300,4.5875,165.7972,0.0277,0.0123,0.3210,0.0384
157,C400,DAY60,0.5300,10.9520,165.7972,0.0661,0.0294,0.3210,0.0917
158,C400,DAY60,0.5300,4.6903,165.7972,0.0283,0.0126,0.3210,0.0393
159,C400,DAY60,0.5300,10.3315,165.7972,0.0623,0.0278,0.3210,0.0865
160,C400,DAY60,0.5300,4.5861,165.7972,0.0277,0.0123,0.3210,0.0384
161,C400,DAY60,0.5300,10.9519,165.7972,0.0661,0.0294,0.3210,0.0917
162,C400,DAY60,0.5300,4.5861,165.7972,0.0277,0.0123,0.3210,0.0384
163,C400,DAY60,0.5300,10.9518,165.7972,0.0661,0.0294,0.3210,0.0917
164,C400,DAY60,0.5300,4.6901,165.7972,0.0283,0.0126,0.3210,0.0393
165,C400,DAY60,0.5300,10.3311,165.7972,0.0623,0.0278,0.3210,0.0865
166,C400,DAY60,0.5300,4.5861,165.7972,0.0277,0.0123,0.3210,0.0384
167,C400,DAY60,0.5300,10.9518,165.7972,0.0661,0.0294,0.3210,0.0917
168,C400,DAY60,0.5300,4.5861,165.7972,0.0277,0.0123,0.3210,0.0384
169,C400,DAY60,0.5300,10.9519,165.7972,0.0661,0.0294,0.3210,0.0917
170,C400,DAY60,0.5300,4.6903,165.7972,0.0283,0.0126,0.3210,0.0393
171,C400,DAY60,0.5300,10.3315,165.7972,0.0623,0.0278,0.3210,0.0865
172,C400,DAY60,0.5300,4.5875,165.7972,0.0277,0.0123,0.3210,0.0384
173,C400,DAY60,0.5300,10.9520,165.7972,0.0661,0.0294,0.3210,0.0917
174,C400,DAY60,0.5300,4.5895,165.7972,0.0277,0.0123,0.3210,0.0384
175,C400,DAY60,0.5300,10.9504,165.7972,0.0660,0.0294,0.3210,0.0917
176,C400,DAY60,0.5300,4.6932,165.7972,0.0283,0.0126,0.3210,0.0393
177,C400,DAY60,0.5300,10.3237,165.7972,0.0623,0.0277,0.3210,0.0864
178,C400,DAY60,0.5300,4.5785,165.7972,0.0276,0.0123,0.3210,0.0383
179,C400,DAY60,0.5300,10.9334,165.7972,0.0659,0.0294,0.3210,0.0915
180,C400,DAY60,0.5300,4.5497,165.7972,0.0274,0.0122,0.3210,0.0381
181,C400,DAY60,0.5300,10.9385,165.7972,0.0660,0.0294,0.3210,0.0916
182,C400,DAY60,0.5300,4.6267,165.7972,0.0279,0.0124,0.3210,0.0387
183,C400,DAY60,0.5300,10.4069,165.7972,0.0628,0.0280,0.3210,0.0871
184,C400,DAY60,0.5300,4.5970,165.7972,0.0277,0.0124,0.3210,0.0385
185,C400,DAY60,0.5300,11.3265,165.7972,0.0683,0.0304,0.3210,0.0948
186,C400,DAY60,0.5300,5.0509,165.7972,0.0305,0.0136,0.3210,0.0423
187,C400,DAY60,0.5300,11.9255,165.7972,0.0719,0.0321,0.3210,0.0998
189,C500,DAY60,0.5300,0.3818,183.6249,0.0021,0.0010,0.3210,0.0031
191,C400,DAY60,0.5300,8.3082,165.7972,0.0501,0.0223,0.3210,0.0696
192,C500,DAY130,0.6300,29.0016,239.4624,0.1211,0.0547,0.3060,0.1788
193,C500,DAY60,0.5300,41.3843,183.6249,0.2254,0.1070,0.3210,0.3332
194,C500,DAY60,0.5300,0.5097,183.6249,0.0028,0.0013,0.3210,0.0041
195,C400,DAY60,0.5300,7.8753,165.7972,0.0475,0.0212,0.3210,0.0659
196,C500,DAY130,0.6300,29.7424,239.4624,0.1242,0.0561,0.3060,0.1834
197,C500,DAY60,0.5300,41.6779,183.6249,0.2270,0.1077,0.3210,0.3356
198,C500,DAY60,0.5300,0.5162,183.6249,0.0028,0.0013,0.3210,0.0042
199,C400,DAY60,0.5300,7.8991,165.7972,0.0476,0.0212,0.3210,0.0661
200,C500,DAY130,0.6300,29.7485,239.4624,0.1242,0.0561,0.3060,0.1834
201,C500,DAY60,0.5300,41.7972,183.6249,0.2276,0.1081,0.3210,0.3366
202,C500,DAY60,0.5300,0.5158,183.6249,0.0028,0.0013,0.3210,0.0042
203,C400,DAY60,0.5300,7.8977,165.7972,0.0476,0.0212,0.3210,0.0661
204,C500,DAY130,0.6300,29.7545,239.4624,0.1243,0.0561,0.3060,0.1835
205,C500,DAY60,0.5300,41.8447,183.6249,0.2279,0.1082,0.3210,0.3370
206,C500,DAY60,0.5300,0.5158,183.6249,0.0028,0.0013,0.3210,0.0042
207,C400,DAY60,0.5300,7.8977,165.7972,0.0476,0.0212,0.3210,0.0661
208,C500,DAY130,0.6300,29.7545,239.4624,0.1243,0.0561,0.3060,0.1835
209,C500,DAY60,0.5300,41.8447,183.6249,0.2279,0.1082,0.3210,0.3370
210,C500,DAY60,0.5300,0.5162,183.6249,0.0028,0.0013,0.3210,0.0042
211,C400,DAY60,0.5300,7.8991,165.7972,0.0476,0.0212,0.3210,0.0661
212,C500,DAY130,0.6300,29.7485,239.4624,0.1242,0.0561,0.3060,0.1834
213,C500,DAY60,0.5300,41.7972,183.6249,0.2276,0.1081,0.3210,0.3366
214,C500,DAY60,0.5300,0.5097,183.6249,0.0028,0.0013,0.3210,0.0041
215,C400,DAY60,0.5300,7.8753,165.7972,0.0475,0.0212,0.3210,0.0659
216,C500,DAY130,0.6300,29.7424,239.4624,0.1242,0.0561,0.3060,0.1834
217,C500,DAY60,0.5300,41.6779,183.6249,0.2270,0.1077,0.3210,0.3356
218,C500,DAY60,0.5300,0.3818,183.6249,0.0021,0.0010,0.3210,0.0031
219,C400,DAY60,0.5300,8.3082,165.7972,0.0501,0.0223,0.3210,0.0696
220,C500,DAY130,0.6300,29.0016,239.4624,0.1211,0.0547,0.3060,0.1788
221,C500,DAY60,0.5300,41.3843,183.6249,0.2254,0.1070,0.3210,0.3332
