PileName,Section,DayZone,Nd_T,h0_m,MinDistToSlabBoundary_m,NearbyBoundarySegments,Classification,Beta,vEd_MPa,vRdc_MPa,EN1992_ratio
74,C500,DAY60,4.0983,0.5300,0.4900,7,CORNER,1.50,0.0138,0.3210,0.0430
75,C400,DAY60,1.0967,0.5300,0.4900,4,EDGE,1.40,0.0036,0.3210,0.0112
76,C400,DAY60,8.9357,0.5300,0.4900,4,EDGE,1.40,0.0292,0.3210,0.0911
77,C400,DAY130,14.1823,0.6300,0.4900,7,CORNER,1.50,0.0361,0.3060,0.1180
82,C500,DAY60,4.1291,0.5300,0.5000,4,EDGE,1.40,0.0130,0.3210,0.0405
83,C400,DAY60,0.6870,0.5300,3.0900,0,INTERIOR,1.15,0.0018,0.3210,0.0058
84,C400,DAY60,7.9168,0.5300,3.0900,0,INTERIOR,1.15,0.0213,0.3210,0.0663
85,C400,DAY130,14.0278,0.6300,0.5000,6,EDGE,1.40,0.0333,0.3060,0.1089
86,C500,DAY60,4.2212,0.5300,0.5000,4,EDGE,1.40,0.0133,0.3210,0.0414
87,C400,DAY60,0.7517,0.5300,4.0000,0,INTERIOR,1.15,0.0020,0.3210,0.0063
88,C400,DAY60,7.8233,0.5300,3.5000,0,INTERIOR,1.15,0.0210,0.3210,0.0655
89,C400,DAY130,13.8575,0.6300,0.5000,6,EDGE,1.40,0.0329,0.3060,0.1076
90,C500,DAY60,4.3293,0.5300,0.5000,4,EDGE,1.40,0.0136,0.3210,0.0424
91,C400,DAY60,0.8238,0.5300,4.0000,0,INTERIOR,1.15,0.0022,0.3210,0.0069
92,C400,DAY60,7.8372,0.5300,3.5000,0,INTERIOR,1.15,0.0211,0.3210,0.0656
93,C400,DAY130,13.8493,0.6300,0.5000,6,EDGE,1.40,0.0329,0.3060,0.1075
94,C500,DAY60,4.3617,0.5300,0.5000,4,EDGE,1.40,0.0137,0.3210,0.0428
95,C400,DAY60,0.8188,0.5300,4.0000,0,INTERIOR,1.15,0.0022,0.3210,0.0069
96,C400,DAY60,7.8450,0.5300,3.5000,0,INTERIOR,1.15,0.0211,0.3210,0.0657
97,C400,DAY130,13.8673,0.6300,0.5000,6,EDGE,1.40,0.0329,0.3060,0.1077
98,C500,DAY60,4.4051,0.5300,0.5000,4,EDGE,1.40,0.0139,0.3210,0.0432
99,C400,DAY60,0.8109,0.5300,4.0000,0,INTERIOR,1.15,0.0022,0.3210,0.0068
100,C400,DAY60,7.8461,0.5300,3.5000,0,INTERIOR,1.15,0.0211,0.3210,0.0657
101,C400,DAY130,13.8773,0.6300,0.5000,6,EDGE,1.40,0.0330,0.3060,0.1077
102,C500,DAY60,4.4178,0.5300,0.5000,4,EDGE,1.40,0.0139,0.3210,0.0433
103,C400,DAY60,0.8116,0.5300,4.0000,0,INTERIOR,1.15,0.0022,0.3210,0.0068
104,C400,DAY60,7.8455,0.5300,3.5000,0,INTERIOR,1.15,0.0211,0.3210,0.0657
105,C400,DAY130,13.8780,0.6300,0.5000,6,EDGE,1.40,0.0330,0.3060,0.1077
106,C500,DAY60,4.4294,0.5300,0.5000,4,EDGE,1.40,0.0139,0.3210,0.0434
107,C400,DAY60,0.8129,0.5300,4.0000,0,INTERIOR,1.15,0.0022,0.3210,0.0068
108,C400,DAY60,7.8450,0.5300,3.5000,0,INTERIOR,1.15,0.0211,0.3210,0.0657
109,C400,DAY130,13.8779,0.6300,0.5000,6,EDGE,1.40,0.0330,0.3060,0.1077
110,C500,DAY60,4.4294,0.5300,0.5000,4,EDGE,1.40,0.0139,0.3210,0.0434
111,C400,DAY60,0.8129,0.5300,4.0000,0,INTERIOR,1.15,0.0022,0.3210,0.0068
112,C400,DAY60,7.8450,0.5300,3.5000,0,INTERIOR,1.15,0.0211,0.3210,0.0657
113,C400,DAY130,13.8779,0.6300,0.5000,6,EDGE,1.40,0.0330,0.3060,0.1077
114,C500,DAY60,4.4178,0.5300,0.5000,4,EDGE,1.40,0.0139,0.3210,0.0433
115,C400,DAY60,0.8116,0.5300,4.0000,0,INTERIOR,1.15,0.0022,0.3210,0.0068
116,C400,DAY60,7.8455,0.5300,3.5000,0,INTERIOR,1.15,0.0211,0.3210,0.0657
117,C400,DAY130,13.8780,0.6300,0.5000,6,EDGE,1.40,0.0330,0.3060,0.1077
118,C500,DAY60,4.4051,0.5300,0.5000,4,EDGE,1.40,0.0139,0.3210,0.0432
119,C400,DAY60,0.8109,0.5300,4.0000,0,INTERIOR,1.15,0.0022,0.3210,0.0068
120,C400,DAY60,7.8461,0.5300,3.5000,0,INTERIOR,1.15,0.0211,0.3210,0.0657
121,C400,DAY130,13.8773,0.6300,0.5000,6,EDGE,1.40,0.0330,0.3060,0.1077
122,C500,DAY60,4.3617,0.5300,0.5000,4,EDGE,1.40,0.0137,0.3210,0.0428
123,C400,DAY60,0.8188,0.5300,4.0000,0,INTERIOR,1.15,0.0022,0.3210,0.0069
124,C400,DAY60,7.8450,0.5300,3.5000,0,INTERIOR,1.15,0.0211,0.3210,0.0657
125,C400,DAY130,13.8673,0.6300,0.5000,6,EDGE,1.40,0.0329,0.3060,0.1077
126,C500,DAY60,4.3293,0.5300,0.5000,4,EDGE,1.40,0.0136,0.3210,0.0424
127,C400,DAY60,0.8238,0.5300,4.0000,0,INTERIOR,1.15,0.0022,0.3210,0.0069
128,C400,DAY60,7.8372,0.5300,3.5000,0,INTERIOR,1.15,0.0211,0.3210,0.0656
129,C400,DAY130,13.8493,0.6300,0.5000,6,EDGE,1.40,0.0329,0.3060,0.1075
130,C500,DAY60,4.2212,0.5300,0.5000,4,EDGE,1.40,0.0133,0.3210,0.0414
131,C400,DAY60,0.7517,0.5300,4.0000,0,INTERIOR,1.15,0.0020,0.3210,0.0063
132,C400,DAY60,7.8233,0.5300,3.5000,0,INTERIOR,1.15,0.0210,0.3210,0.0655
133,C400,DAY130,13.8575,0.6300,0.5000,6,EDGE,1.40,0.0329,0.3060,0.1076
134,C500,DAY60,4.1291,0.5300,0.5000,4,EDGE,1.40,0.0130,0.3210,0.0405
135,C400,DAY60,0.6870,0.5300,3.0900,0,INTERIOR,1.15,0.0018,0.3210,0.0058
136,C400,DAY60,7.9168,0.5300,3.0900,0,INTERIOR,1.15,0.0213,0.3210,0.0663
137,C400,DAY130,14.0278,0.6300,0.5000,6,EDGE,1.40,0.0333,0.3060,0.1089
138,C500,DAY60,4.0983,0.5300,0.4900,7,CORNER,1.50,0.0138,0.3210,0.0430
139,C400,DAY60,1.0967,0.5300,0.4900,4,EDGE,1.40,0.0036,0.3210,0.0112
140,C400,DAY60,8.9357,0.5300,0.4900,4,EDGE,1.40,0.0292,0.3210,0.0911
141,C400,DAY130,14.1823,0.6300,0.4900,7,CORNER,1.50,0.0361,0.3060,0.1180
142,C400,DAY60,5.0509,0.5300,1.1400,2,EDGE,1.40,0.0165,0.3210,0.0515
143,C400,DAY60,11.9255,0.5300,1.1400,2,EDGE,1.40,0.0390,0.3210,0.1215
144,C400,DAY60,4.5970,0.5300,2.4400,0,INTERIOR,1.15,0.0124,0.3210,0.0385
145,C400,DAY60,11.3265,0.5300,2.0000,0,INTERIOR,1.15,0.0304,0.3210,0.0948
146,C400,DAY60,4.6267,0.5300,3.7400,0,INTERIOR,1.15,0.0124,0.3210,0.0387
147,C400,DAY60,10.4069,0.5300,2.0000,0,INTERIOR,1.15,0.0280,0.3210,0.0871
148,C400,DAY60,4.5497,0.5300,5.0000,0,INTERIOR,1.15,0.0122,0.3210,0.0381
149,C400,DAY60,10.9385,0.5300,2.0000,0,INTERIOR,1.15,0.0294,0.3210,0.0916
150,C400,DAY60,4.5785,0.5300,5.0000,0,INTERIOR,1.15,0.0123,0.3210,0.0383
151,C400,DAY60,10.9334,0.5300,2.0000,0,INTERIOR,1.15,0.0294,0.3210,0.0915
152,C400,DAY60,4.6932,0.5300,5.0000,0,INTERIOR,1.15,0.0126,0.3210,0.0393
153,C400,DAY60,10.3237,0.5300,2.0000,0,INTERIOR,1.15,0.0277,0.3210,0.0864
154,C400,DAY60,4.5895,0.5300,5.0000,0,INTERIOR,1.15,0.0123,0.3210,0.0384
155,C400,DAY60,10.9504,0.5300,2.0000,0,INTERIOR,1.15,0.0294,0.3210,0.0917
156,C400,DAY60,4.5875,0.5300,5.0000,0,INTERIOR,1.15,0.0123,0.3210,0.0384
157,C400,DAY60,10.9520,0.5300,2.0000,0,INTERIOR,1.15,0.0294,0.3210,0.0917
158,C400,DAY60,4.6903,0.5300,5.0000,0,INTERIOR,1.15,0.0126,0.3210,0.0393
159,C400,DAY60,10.3315,0.5300,2.0000,0,INTERIOR,1.15,0.0278,0.3210,0.0865
160,C400,DAY60,4.5861,0.5300,5.0000,0,INTERIOR,1.15,0.0123,0.3210,0.0384
161,C400,DAY60,10.9519,0.5300,2.0000,0,INTERIOR,1.15,0.0294,0.3210,0.0917
162,C400,DAY60,4.5861,0.5300,5.0000,0,INTERIOR,1.15,0.0123,0.3210,0.0384
163,C400,DAY60,10.9518,0.5300,2.0000,0,INTERIOR,1.15,0.0294,0.3210,0.0917
164,C400,DAY60,4.6901,0.5300,5.0000,0,INTERIOR,1.15,0.0126,0.3210,0.0393
165,C400,DAY60,10.3311,0.5300,2.0000,0,INTERIOR,1.15,0.0278,0.3210,0.0865
166,C400,DAY60,4.5861,0.5300,5.0000,0,INTERIOR,1.15,0.0123,0.3210,0.0384
167,C400,DAY60,10.9518,0.5300,2.0000,0,INTERIOR,1.15,0.0294,0.3210,0.0917
168,C400,DAY60,4.5861,0.5300,5.0000,0,INTERIOR,1.15,0.0123,0.3210,0.0384
169,C400,DAY60,10.9519,0.5300,2.0000,0,INTERIOR,1.15,0.0294,0.3210,0.0917
170,C400,DAY60,4.6903,0.5300,5.0000,0,INTERIOR,1.15,0.0126,0.3210,0.0393
171,C400,DAY60,10.3315,0.5300,2.0000,0,INTERIOR,1.15,0.0278,0.3210,0.0865
172,C400,DAY60,4.5875,0.5300,5.0000,0,INTERIOR,1.15,0.0123,0.3210,0.0384
173,C400,DAY60,10.9520,0.5300,2.0000,0,INTERIOR,1.15,0.0294,0.3210,0.0917
174,C400,DAY60,4.5895,0.5300,5.0000,0,INTERIOR,1.15,0.0123,0.3210,0.0384
175,C400,DAY60,10.9504,0.5300,2.0000,0,INTERIOR,1.15,0.0294,0.3210,0.0917
176,C400,DAY60,4.6932,0.5300,5.0000,0,INTERIOR,1.15,0.0126,0.3210,0.0393
177,C400,DAY60,10.3237,0.5300,2.0000,0,INTERIOR,1.15,0.0277,0.3210,0.0864
178,C400,DAY60,4.5785,0.5300,5.0000,0,INTERIOR,1.15,0.0123,0.3210,0.0383
179,C400,DAY60,10.9334,0.5300,2.0000,0,INTERIOR,1.15,0.0294,0.3210,0.0915
180,C400,DAY60,4.5497,0.5300,5.0000,0,INTERIOR,1.15,0.0122,0.3210,0.0381
181,C400,DAY60,10.9385,0.5300,2.0000,0,INTERIOR,1.15,0.0294,0.3210,0.0916
182,C400,DAY60,4.6267,0.5300,3.7400,0,INTERIOR,1.15,0.0124,0.3210,0.0387
183,C400,DAY60,10.4069,0.5300,2.0000,0,INTERIOR,1.15,0.0280,0.3210,0.0871
