Figure,Panel,FigureTitle_DOCX,PanelContent,File,WidthPx,HeightPx,DpiX,DpiY
1,Complete figure,Algorithmic workflow of the proposed B-MOSFOA and E-MOSFOA.,Complete B-MOSFOA/E-MOSFOA algorithmic workflow,Fig01_MOSFOA_flowchart_600dpi.tiff,7019,3544,600,600
2,(a),Approximated Pareto fronts for IMOP problems.,IMOP1,Fig02\Fig02a_IMOP1_30_compare_revised.tiff,2524,2568,600,600
2,(b),Approximated Pareto fronts for IMOP problems.,IMOP2,Fig02\Fig02b_IMOP2_30_compare_revised.tiff,2524,2568,600,600
2,(c),Approximated Pareto fronts for IMOP problems.,IMOP3,Fig02\Fig02c_IMOP3_30_compare_revised.tiff,2632,2575,600,600
2,(d),Approximated Pareto fronts for IMOP problems.,IMOP4,Fig02\Fig02d_IMOP4_10_compare_revised.tiff,2667,2492,600,600
2,(e),Approximated Pareto fronts for IMOP problems.,IMOP5,Fig02\Fig02e_IMOP5_10_compare_revised.tiff,2881,2510,600,600
2,(f),Approximated Pareto fronts for IMOP problems.,IMOP6,Fig02\Fig02f_IMOP6_10_compare_revised.tiff,2785,2515,600,600
2,(g),Approximated Pareto fronts for IMOP problems.,IMOP7,Fig02\Fig02g_IMOP7_10_compare_revised.tiff,2714,2512,600,600
2,(h),Approximated Pareto fronts for IMOP problems.,IMOP8,Fig02\Fig02h_IMOP8_10_compare_revised.tiff,2685,2520,600,600
3,(a),IGD comparison on IMOPs,IGD results for IMOP1,Fig03\Fig03a_IMOP1_revised_boxIGD.tiff,4538,4964,600,600
3,(b),IGD comparison on IMOPs,IGD results for IMOP2,Fig03\Fig03b_IMOP2_revised_boxIGD.tiff,4538,4964,600,600
3,(c),IGD comparison on IMOPs,IGD results for IMOP3,Fig03\Fig03c_IMOP3_revised_boxIGD.tiff,4538,4964,600,600
3,(d),IGD comparison on IMOPs,IGD results for IMOP4,Fig03\Fig03d_IMOP4_revised_boxIGD.tiff,4538,4964,600,600
3,(e),IGD comparison on IMOPs,IGD results for IMOP5,Fig03\Fig03e_IMOP5_revised_boxIGD.tiff,4538,4964,600,600
3,(f),IGD comparison on IMOPs,IGD results for IMOP6,Fig03\Fig03f_IMOP6_revised_boxIGD.tiff,4538,4964,600,600
3,(g),IGD comparison on IMOPs,IGD results for IMOP7,Fig03\Fig03g_IMOP7_revised_boxIGD.tiff,4538,4964,600,600
3,(h),IGD comparison on IMOPs,IGD results for IMOP8,Fig03\Fig03h_IMOP8_revised_boxIGD.tiff,4445,4964,600,600
4,(a),Approximated Pareto fronts for UF problems.,UF1,Fig04\Fig04a_UF1_30_compare_revised.tiff,2983,3024,600,600
4,(b),Approximated Pareto fronts for UF problems.,UF2,Fig04\Fig04b_UF2_30_compare_revised.tiff,2983,3024,600,600
4,(c),Approximated Pareto fronts for UF problems.,UF3,Fig04\Fig04c_UF3_30_compare_revised.tiff,2983,3024,600,600
4,(d),Approximated Pareto fronts for UF problems.,UF4,Fig04\Fig04d_UF4_30_compare_revised.tiff,2983,3024,600,600
4,(e),Approximated Pareto fronts for UF problems.,UF5,Fig04\Fig04e_UF5_30_compare_revised.tiff,2983,3024,600,600
4,(f),Approximated Pareto fronts for UF problems.,UF6,Fig04\Fig04f_UF6_30_compare_revised.tiff,2983,3024,600,600
4,(g),Approximated Pareto fronts for UF problems.,UF7,Fig04\Fig04g_UF7_30_compare_revised.tiff,2983,3024,600,600
4,(h),Approximated Pareto fronts for UF problems.,UF8,Fig04\Fig04h_UF8_30_compare_revised.tiff,2860,2926,600,600
4,(i),Approximated Pareto fronts for UF problems.,UF9,Fig04\Fig04i_UF9_30_compare_revised.tiff,3205,2942,600,600
5,(a),IGD comparison on UFs,IGD results for UF1,Fig05\Fig05a_UF1_revised_boxIGD.tiff,4218,4999,600,600
5,(b),IGD comparison on UFs,IGD results for UF2,Fig05\Fig05b_UF2_revised_boxIGD.tiff,4357,4999,600,600
5,(c),IGD comparison on UFs,IGD results for UF3,Fig05\Fig05c_UF3_revised_boxIGD.tiff,4538,4962,600,600
